#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-random-1-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000888727 seconds
Distributing the actor graph took: 2.08842 seconds
Added actors in: 0.457647 seconds.
Initialized connections of actors in: 0.0136204 seconds.
Async Migration only
Output number: 1, Rank-10: (1) 0 | (2) 717 | (3)0/100 | (4) 185, 185 | (5) 178.361 | (6) 0.591699 | (7) 2.6308e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.8889/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (54361, 54361) | (20) 1 | (21) 1 | (22) 0 | (23) 18 | (24) 6035.81 | (25) (34.4964, 54-44) | (26) 1
Output number: 1, Rank-22: (1) 0 | (2) 299 | (3)0/100 | (4) 187, 187 | (5) 179.683 | (6) 0.149537 | (7) 1.9454e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 99.4444/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (54623, 54623) | (20) 1 | (21) 1 | (22) 0 | (23) 129 | (24) 6140.78 | (25) (33.9262, 18-6) | (26) 1
Output number: 1, Rank-5: (1) 0 | (2) 629 | (3)0/100 | (4) 190, 190 | (5) 179.47 | (6) 0.158082 | (7) 1.1662e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 99.4444/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (54583, 54583) | (20) 1 | (21) 1 | (22) 0 | (23) 18 | (24) 6237.16 | (25) (33.3879, 12-63) | (26) 1
Output number: 1, Rank-11: (1) 0 | (2) 280 | (3)0/100 | (4) 185, 185 | (5) 179.665 | (6) 0.171141 | (7) 7.9331e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 99.4444/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (54315, 54315) | (20) 1 | (21) 1 | (22) 0 | (23) 167 | (24) 6105.81 | (25) (33.7087, 65-28) | (26) 1
Output number: 1, Rank-16: (1) 2 | (2) 828 | (3)0.241546/100 | (4) 181, 181 | (5) 173.584 | (6) 2.39617 | (7) 1.434e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.2222/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (52718, 52718) | (20) 1 | (21) 0 | (22) 0 | (23) 19 | (24) 5947.43 | (25) (34.487, 56-18) | (26) 1
Output number: 1, Rank-12: (1) 0 | (2) 397 | (3)0/100 | (4) 186, 186 | (5) 179.591 | (6) 0.195012 | (7) 9.5342e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 99.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (54798, 54798) | (20) 1 | (21) 0 | (22) 0 | (23) 45 | (24) 6079.53 | (25) (33.3521, 43-46) | (26) 1
Output number: 1, Rank-8: (1) 0 | (2) 332 | (3)0/100 | (4) 187, 187 | (5) 179.62 | (6) 0.200231 | (7) 9.164e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (54618, 54618) | (20) 1 | (21) 1 | (22) 0 | (23) 68 | (24) 6135.35 | (25) (36.5875, 45-56) | (26) 1
Output number: 1, Rank-26: (1) 0 | (2) 408 | (3)0/100 | (4) 187, 187 | (5) 179.595 | (6) 0.20831 | (7) 8.4792e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (54025, 54025) | (20) 1 | (21) 1 | (22) 0 | (23) 22 | (24) 6208.16 | (25) (33.7515, 31-26) | (26) 1
Output number: 1, Rank-6: (1) 0 | (2) 1041 | (3)0/100 | (4) 188, 188 | (5) 176.168 | (6) 1.15488 | (7) 1.6032e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.3333/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (53828, 53828) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 6167.01 | (25) (33.3726, 11-58) | (26) 1
Output number: 1, Rank-7: (1) 0 | (2) 274 | (3)0/100 | (4) 188, 188 | (5) 179.677 | (6) 0.154457 | (7) 3.4565e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (54296, 54296) | (20) 1 | (21) 1 | (22) 0 | (23) 177 | (24) 6215.13 | (25) (35.0632, 70-53) | (26) 1
Output number: 1, Rank-18: (1) 0 | (2) 276 | (3)0/100 | (4) 188, 188 | (5) 179.673 | (6) 0.164701 | (7) 4.0668e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (54429, 54429) | (20) 1 | (21) 1 | (22) 0 | (23) 174 | (24) 6196.59 | (25) (33.7733, 32-3) | (26) 1
