#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.422519 seconds
Distributing the actor graph took: 2.37363 seconds
Added actors in: 0.0497416 seconds.
Initialized connections of actors in: 0.0110783 seconds.
Async Migration only
Rank-693: (1) 53 | (2) 996 | (3)5.32129/100 | (4) 5 | (5) 104.647 | (6) 8.44305 | (7) 6.6154e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-72: (1) 70 | (2) 997 | (3)7.02106/100 | (4) 6 | (5) 104.271 | (6) 8.84836 | (7) 6.9966e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-731: (1) 36 | (2) 995 | (3)3.61809/100 | (4) 7 | (5) 106.42 | (6) 7.42194 | (7) 1.5408e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-343: (1) 62 | (2) 1005 | (3)6.16915/100 | (4) 6 | (5) 103.987 | (6) 9.02865 | (7) 0.00016157 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-239: (1) 70 | (2) 988 | (3)7.08502/100 | (4) 6 | (5) 103.028 | (6) 9.48593 | (7) 2.6526e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 92.562/100| (15)0 | (16) 1
Rank-321: (1) 65 | (2) 990 | (3)6.56566/100 | (4) 5 | (5) 102.519 | (6) 9.62735 | (7) 8.7172e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 92.562/100| (15)0 | (16) 1
Rank-433: (1) 51 | (2) 1004 | (3)5.07968/100 | (4) 6 | (5) 104.617 | (6) 8.46683 | (7) 6.7247e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-831: (1) 37 | (2) 1018 | (3)3.63458/100 | (4) 6 | (5) 106.46 | (6) 7.77667 | (7) 7.1644e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 94.2149/100| (15)0 | (16) 1
Rank-284: (1) 52 | (2) 1000 | (3)5.2/100 | (4) 5 | (5) 105.196 | (6) 8.23147 | (7) 4.4962e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-802: (1) 37 | (2) 1006 | (3)3.67793/100 | (4) 6 | (5) 106.389 | (6) 7.51308 | (7) 0.000103778 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-876: (1) 48 | (2) 1009 | (3)4.75719/100 | (4) 6 | (5) 106.6 | (6) 7.47859 | (7) 0.000159033 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 94.2149/100| (15)0 | (16) 1
Rank-155: (1) 54 | (2) 1010 | (3)5.34653/100 | (4) 6 | (5) 104.176 | (6) 8.67579 | (7) 7.5254e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 92.562/100| (15)0 | (16) 1
Rank-389: (1) 51 | (2) 996 | (3)5.12048/100 | (4) 6 | (5) 105.807 | (6) 7.92672 | (7) 9.4336e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-267: (1) 57 | (2) 998 | (3)5.71142/100 | (4) 6 | (5) 104.704 | (6) 8.5324 | (7) 0.000139926 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-398: (1) 47 | (2) 1007 | (3)4.66733/100 | (4) 6 | (5) 103.527 | (6) 9.13023 | (7) 7.2685e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 92.562/100| (15)0 | (16) 1
Rank-448: (1) 48 | (2) 1011 | (3)4.74777/100 | (4) 6 | (5) 105.47 | (6) 7.98105 | (7) 0.000142584 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-489: (1) 79 | (2) 987 | (3)8.00405/100 | (4) 6 | (5) 102.807 | (6) 9.86871 | (7) 0.000148248 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 92.562/100| (15)0 | (16) 1
Rank-529: (1) 52 | (2) 998 | (3)5.21042/100 | (4) 5 | (5) 105.411 | (6) 8.15811 | (7) 0.000132768 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-197: (1) 80 | (2) 989 | (3)8.08898/100 | (4) 5 | (5) 102.386 | (6) 9.81428 | (7) 8.9545e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.055 | (14) 92.562/100| (15)0 | (16) 1
Rank-85: (1) 44 | (2) 1011 | (3)4.35213/100 | (4) 6 | (5) 105.719 | (6) 7.88423 | (7) 0.000115289 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-612: (1) 36 | (2) 982 | (3)3.66599/100 | (4) 6 | (5) 105.158 | (6) 8.16803 | (7) 8.1129e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-861: (1) 37 | (2) 1011 | (3)3.65974/100 | (4) 6 | (5) 105.462 | (6) 7.86382 | (7) 2.1251e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-565: (1) 62 | (2) 998 | (3)6.21242/100 | (4) 6 | (5) 104.373 | (6) 8.65805 | (7) 8.9258e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-538: (1) 79 | (2) 986 | (3)8.01217/100 | (4) 6 | (5) 106.751 | (6) 7.76845 | (7) 7.9085e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 94.2149/100| (15)0 | (16) 1
Rank-713: (1) 50 | (2) 1018 | (3)4.91159/100 | (4) 6 | (5) 104.222 | (6) 8.7043 | (7) 4.3296e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 92.562/100| (15)0 | (16) 1
Rank-182: (1) 71 | (2) 996 | (3)7.12851/100 | (4) 5 | (5) 104.063 | (6) 8.95205 | (7) 0.000141557 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-135: (1) 62 | (2) 999 | (3)6.20621/100 | (4) 6 | (5) 104.42 | (6) 8.70972 | (7) 9.2258e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-668: (1) 73 | (2) 980 | (3)7.44898/100 | (4) 6 | (5) 103.983 | (6) 9.15338 | (7) 0.000135694 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-621: (1) 70 | (2) 975 | (3)7.17949/100 | (4) 6 | (5) 103.278 | (6) 9.35416 | (7) 0.000107581 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 92.562/100| (15)0 | (16) 1
Rank-756: (1) 49 | (2) 1007 | (3)4.86594/100 | (4) 6 | (5) 106.959 | (6) 7.31984 | (7) 9.3699e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 94.2149/100| (15)0 | (16) 1
Rank-40: (1) 48 | (2) 992 | (3)4.83871/100 | (4) 6 | (5) 107.893 | (6) 6.8509 | (7) 0.000121334 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 94.2149/100| (15)0 | (16) 1
Rank-694: (1) 47 | (2) 1011 | (3)4.64886/100 | (4) 6 | (5) 104.969 | (6) 8.46385 | (7) 3.3046e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-73: (1) 83 | (2) 978 | (3)8.48671/100 | (4) 5 | (5) 107.452 | (6) 7.44514 | (7) 0.000130476 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.055 | (14) 94.2149/100| (15)0 | (16) 1
Rank-732: (1) 47 | (2) 1017 | (3)4.62144/100 | (4) 5 | (5) 105.906 | (6) 7.84024 | (7) 4.5743e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
Rank-322: (1) 65 | (2) 998 | (3)6.51303/100 | (4) 6 | (5) 104.293 | (6) 8.89429 | (7) 8.225e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 121.056 | (14) 93.3884/100| (15)0 | (16) 1
