#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-global-random-32-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.230294 seconds
Distributing the actor graph took: 44.0798 seconds
Added actors in: 0.128161 seconds.
Initialized connections of actors in: 0.0523869 seconds.
Async Migration only
Output number: 1, Rank-2: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.77816 | (6) 82.3021 | (7) 0.000298472 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52258, 52258) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7.98806
Output number: 1, Rank-3: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.79357 | (6) 82.877 | (7) 0.000277837 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52227, 52227) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7.97685
Output number: 1, Rank-6: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.81772 | (6) 81.0011 | (7) 0.000267819 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52120, 52120) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.11073
Output number: 1, Rank-8: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.75953 | (6) 81.7103 | (7) 0.000247191 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52241, 52241) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7.76025
Output number: 1, Rank-10: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.80183 | (6) 82.2477 | (7) 0.000245631 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52497, 52497) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.0196
Output number: 1, Rank-11: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.81756 | (6) 81.6389 | (7) 0.000288257 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52620, 52620) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7.96139
Output number: 1, Rank-12: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.81742 | (6) 79.9971 | (7) 0.000220671 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52524, 52524) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.01101
Output number: 1, Rank-13: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.77561 | (6) 86.446 | (7) 0.000249371 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52419, 52419) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7.97116
Output number: 1, Rank-14: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.73351 | (6) 82.9649 | (7) 0.000289939 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52034, 52034) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7.12088
Output number: 1, Rank-15: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.74388 | (6) 83.329 | (7) 0.000208053 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52152, 52152) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7.14001
Output number: 1, Rank-16: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.76882 | (6) 83.013 | (7) 0.000291348 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52067, 52067) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7.50038
Output number: 1, Rank-17: (1) 0 | (2) 1785 | (3)0/100 | (4) 23, 23 | (5) 1.76014 | (6) 83.2004 | (7) 0.000229187 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (51837, 51837) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6.79197
