#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-busy-1-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000998247 seconds
Distributing the actor graph took: 2.08974 seconds
Added actors in: 0.450497 seconds.
Initialized connections of actors in: 0.0116733 seconds.
Async Migration only
Output number: 1, Rank-17: (1) 1 | (2) 4 | (3)25/100 | (4) 187, 187 | (5) 179.422 | (6) 0.186244 | (7) 5.7026e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 99.4444/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (54444, 54444) | (20) 1 | (21) 0 | (22) 0 | (23) 183 | (24) 6155.99 | (25) (34.6915, 48-10) | (26) 1
Output number: 1, Rank-20: (1) 0 | (2) 0 | (3)0/100 | (4) 182, 182 | (5) 178.222 | (6) 0.53366 | (7) 2.7344e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 98.8889/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (54124, 54124) | (20) 1 | (21) 0 | (22) 0 | (23) 12 | (24) 5984.46 | (25) (33.8021, 45-22) | (26) 1
Output number: 1, Rank-25: (1) 4 | (2) 15 | (3)26.6667/100 | (4) 191, 191 | (5) 179.451 | (6) 0.182236 | (7) 2.3697e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 99.4444/100 | (15) 0 | (17) (191, 191) | (18) X | (19) (54381, 54381) | (20) 1 | (21) 0 | (22) 0 | (23) 131 | (24) 6290.96 | (25) (33.6941, 8-29) | (26) 1
Output number: 1, Rank-27: (1) 6 | (2) 12 | (3)50/100 | (4) 189, 189 | (5) 179.485 | (6) 0.20561 | (7) 2.9174e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 99.4444/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (53835, 53835) | (20) 1 | (21) 0 | (22) 0 | (23) 163 | (24) 6293.94 | (25) (34.1251, 22-27) | (26) 1
Output number: 1, Rank-1: (1) 0 | (2) 0 | (3)0/100 | (4) 181, 181 | (5) 178.799 | (6) 0.312787 | (7) 3.7886e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 99.4444/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (53745, 53745) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 6009.03 | (25) (33.9872, 42-57) | (26) 1
Output number: 1, Rank-2: (1) 0 | (2) 0 | (3)0/100 | (4) 185, 185 | (5) 177.227 | (6) 0.949263 | (7) 8.4576e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 98.8889/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (53813, 53813) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 6090.64 | (25) (33.7661, 28-69) | (26) 1
Output number: 1, Rank-4: (1) 0 | (2) 14 | (3)0/100 | (4) 185, 185 | (5) 179.43 | (6) 0.223018 | (7) 2.3271e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (54445, 54445) | (20) 1 | (21) 0 | (22) 0 | (23) 46 | (24) 6083.24 | (25) (34.6301, 21-56) | (26) 1
Output number: 1, Rank-5: (1) 0 | (2) 0 | (3)0/100 | (4) 190, 190 | (5) 179.591 | (6) 0.127777 | (7) 5.4702e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 99.4444/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (53912, 53912) | (20) 1 | (21) 0 | (22) 0 | (23) 169 | (24) 6322.92 | (25) (34.755, 17-70) | (26) 1
Output number: 2, Rank-23: (1) 2 | (2) 4 | (3)50/100 | (4) 181, 181 | (5) 347.41 | (6) 3.856 | (7) 9.0355e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 97.5/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (104309, 51922) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 6020.72 | (25) (34.5583, 23-11) | (26) 1
Output number: 2, Rank-6: (1) 0 | (2) 11 | (3)0/100 | (4) 188, 188 | (5) 358.554 | (6) 0.356697 | (7) 6.2897e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 99.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (107608, 53691) | (20) 1 | (21) 0 | (22) 0 | (23) 40 | (24) 6255.57 | (25) (33.9274, 12-57) | (26) 1
Output number: 2, Rank-3: (1) 8 | (2) 62 | (3)12.9032/100 | (4) 181, 181 | (5) 352.297 | (6) 2.26217 | (7) 4.8066e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 98.3333/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (106633, 52846) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 5903.16 | (25) (37.7764, 7-47) | (26) 1
Output number: 2, Rank-2: (1) 0 | (2) 0 | (3)0/100 | (4) 185, 185 | (5) 350.297 | (6) 3.31018 | (7) 8.4576e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 98.0556/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (106332, 52519) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 6078.32 | (25) (35.1463, 22-69) | (26) 1
