#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-global-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.248777 seconds
Distributing the actor graph took: 2.39737 seconds
Added actors in: 0.105554 seconds.
Initialized connections of actors in: 0.0117855 seconds.
Async Migration only
Rank-93: (1) 0 | (2) 1115 | (3)0/100 | (4) 6 | (5) 108.471 | (6) 5.57584 | (7) 0.000116769 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-840: (1) 0 | (2) 1113 | (3)0/100 | (4) 6 | (5) 108.81 | (6) 5.22421 | (7) 0.000138059 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-430: (1) 0 | (2) 1140 | (3)0/100 | (4) 5 | (5) 90.8001 | (6) 14.7534 | (7) 0.000107231 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 88.2353/100| (15)0 | (16) 1
Rank-67: (1) 0 | (2) 1125 | (3)0/100 | (4) 5 | (5) 90.6514 | (6) 14.9782 | (7) 8.09e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 88.2353/100| (15)0 | (16) 1
Rank-448: (1) 0 | (2) 1120 | (3)0/100 | (4) 6 | (5) 109.784 | (6) 4.81193 | (7) 5.8777e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-641: (1) 0 | (2) 1123 | (3)0/100 | (4) 6 | (5) 109.563 | (6) 4.78906 | (7) 0.000170716 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-138: (1) 0 | (2) 1119 | (3)0/100 | (4) 6 | (5) 109.285 | (6) 5.21429 | (7) 8.0273e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-650: (1) 0 | (2) 1120 | (3)0/100 | (4) 6 | (5) 107.981 | (6) 5.59573 | (7) 0.000119386 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-234: (1) 0 | (2) 1117 | (3)0/100 | (4) 6 | (5) 109.854 | (6) 4.64516 | (7) 0.000165884 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-279: (1) 0 | (2) 1122 | (3)0/100 | (4) 6 | (5) 108.497 | (6) 5.38577 | (7) 0.000154214 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-328: (1) 0 | (2) 1098 | (3)0/100 | (4) 6 | (5) 115.683 | (6) 1.92302 | (7) 0.000135332 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 98.3193/100| (15)0 | (16) 1
Rank-874: (1) 0 | (2) 1121 | (3)0/100 | (4) 6 | (5) 108.738 | (6) 5.25435 | (7) 0.000112422 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-188: (1) 0 | (2) 1132 | (3)0/100 | (4) 5 | (5) 96.1978 | (6) 11.8687 | (7) 0.000162537 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 90.7563/100| (15)0 | (16) 1
Rank-196: (1) 0 | (2) 1140 | (3)0/100 | (4) 5 | (5) 90.3576 | (6) 15.136 | (7) 0.000159887 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 88.2353/100| (15)0 | (16) 1
Rank-773: (1) 0 | (2) 1117 | (3)0/100 | (4) 6 | (5) 108.44 | (6) 5.51396 | (7) 0.000124595 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-728: (1) 0 | (2) 1144 | (3)0/100 | (4) 5 | (5) 90.121 | (6) 14.5737 | (7) 9.2823e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 87.395/100| (15)0 | (16) 1
Rank-160: (1) 0 | (2) 1126 | (3)0/100 | (4) 6 | (5) 108.428 | (6) 5.49196 | (7) 0.000165261 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-414: (1) 0 | (2) 1125 | (3)0/100 | (4) 6 | (5) 108.985 | (6) 5.29345 | (7) 0.000127394 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-717: (1) 0 | (2) 1115 | (3)0/100 | (4) 6 | (5) 108.249 | (6) 5.4207 | (7) 0.000134323 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-814: (1) 0 | (2) 1115 | (3)0/100 | (4) 6 | (5) 108.489 | (6) 5.62767 | (7) 0.000116628 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-299: (1) 0 | (2) 1137 | (3)0/100 | (4) 5 | (5) 90.4221 | (6) 15.4582 | (7) 0.000167298 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 88.2353/100| (15)0 | (16) 1
Rank-385: (1) 0 | (2) 1133 | (3)0/100 | (4) 6 | (5) 107.371 | (6) 6.09094 | (7) 0.000107432 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
