#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-global-busy-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.320253 seconds
Distributing the actor graph took: 2.37322 seconds
Added actors in: 0.0671311 seconds.
Initialized connections of actors in: 0.0135748 seconds.
Async Migration only
Rank-14: (1) 0 | (2) 1295 | (3)0/100 | (4) 6 | (5) 108.26 | (6) 13.6612 | (7) 0.000172057 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-15: (1) 0 | (2) 1294 | (3)0/100 | (4) 6 | (5) 107.82 | (6) 13.716 | (7) 0.000196043 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-16: (1) 0 | (2) 1290 | (3)0/100 | (4) 6 | (5) 109.887 | (6) 12.6911 | (7) 0.000150876 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-17: (1) 0 | (2) 1322 | (3)0/100 | (4) 5 | (5) 91.2294 | (6) 22.9879 | (7) 0.000191397 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.8235/100| (15)0 | (16) 1
Rank-18: (1) 0 | (2) 1322 | (3)0/100 | (4) 5 | (5) 90.9788 | (6) 23.2407 | (7) 0.000212118 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.8235/100| (15)0 | (16) 1
Rank-19: (1) 0 | (2) 1299 | (3)0/100 | (4) 6 | (5) 109.238 | (6) 13.1032 | (7) 0.000185088 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-20: (1) 0 | (2) 1314 | (3)0/100 | (4) 6 | (5) 108.038 | (6) 13.7761 | (7) 0.000167467 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-21: (1) 1 | (2) 1304 | (3)0.0766871/100 | (4) 5 | (5) 93.1887 | (6) 22.3734 | (7) 0.000205203 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 84.5588/100| (15)0 | (16) 1
Rank-22: (1) 0 | (2) 1327 | (3)0/100 | (4) 5 | (5) 90.5236 | (6) 23.5446 | (7) 0.000142774 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.8235/100| (15)0 | (16) 1
Rank-23: (1) 0 | (2) 1298 | (3)0/100 | (4) 6 | (5) 109.201 | (6) 13.2121 | (7) 0.000173995 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-24: (1) 0 | (2) 1316 | (3)0/100 | (4) 6 | (5) 108.054 | (6) 13.9575 | (7) 0.000201477 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-25: (1) 0 | (2) 1311 | (3)0/100 | (4) 6 | (5) 107.722 | (6) 13.8538 | (7) 0.000148247 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-26: (1) 1 | (2) 1303 | (3)0.076746/100 | (4) 7 | (5) 110.975 | (6) 12.2793 | (7) 0.000221205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 90.4412/100| (15)0 | (16) 1
Rank-27: (1) 1 | (2) 1287 | (3)0.0777001/100 | (4) 7 | (5) 116.728 | (6) 9.4648 | (7) 0.000243906 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 92.6471/100| (15)0 | (16) 1
Rank-1: (1) 0 | (2) 1305 | (3)0/100 | (4) 6 | (5) 109.269 | (6) 13.0962 | (7) 0.000187523 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-2: (1) 0 | (2) 1316 | (3)0/100 | (4) 6 | (5) 109.346 | (6) 13.266 | (7) 0.000163451 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-3: (1) 0 | (2) 1307 | (3)0/100 | (4) 6 | (5) 109.183 | (6) 12.9478 | (7) 0.000146054 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-4: (1) 0 | (2) 1319 | (3)0/100 | (4) 6 | (5) 108.051 | (6) 13.7733 | (7) 0.00015852 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-5: (1) 0 | (2) 1293 | (3)0/100 | (4) 6 | (5) 107.225 | (6) 14.3012 | (7) 0.000143623 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-6: (1) 0 | (2) 1319 | (3)0/100 | (4) 5 | (5) 89.9996 | (6) 23.5199 | (7) 0.000218949 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.0882/100| (15)0 | (16) 1
Rank-7: (1) 1 | (2) 1290 | (3)0.0775194/100 | (4) 7 | (5) 116.035 | (6) 9.809 | (7) 0.000176152 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 91.9118/100| (15)0 | (16) 1
Rank-8: (1) 0 | (2) 1312 | (3)0/100 | (4) 6 | (5) 109.495 | (6) 12.9831 | (7) 0.000251075 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-9: (1) 0 | (2) 1324 | (3)0/100 | (4) 5 | (5) 89.561 | (6) 24.0876 | (7) 0.000215357 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.0882/100| (15)0 | (16) 1
Rank-10: (1) 0 | (2) 1314 | (3)0/100 | (4) 6 | (5) 107.868 | (6) 15.6046 | (7) 0.000224778 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 90.4412/100| (15)0 | (16) 1
Rank-11: (1) 0 | (2) 1311 | (3)0/100 | (4) 5 | (5) 89.9786 | (6) 24.3372 | (7) 0.0001832 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.8235/100| (15)0 | (16) 1
Rank-12: (1) 1 | (2) 1314 | (3)0.0761035/100 | (4) 5 | (5) 92.7331 | (6) 22.52 | (7) 0.000169837 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 84.5588/100| (15)0 | (16) 1
Rank-13: (1) 0 | (2) 1306 | (3)0/100 | (4) 6 | (5) 109.062 | (6) 13.1612 | (7) 0.000151512 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Decomposition: (1) STOLE_COUNT |(2) STOLE_TRIES | (3) REJECTION | (4) ACTIVE_ACTORS | (5) TIME_ACT | (6) PROGRESS | (7) BARRIER |  (8) TIMEOUT_CHECK | (9) TERMINATION_CHECK_DUR | (10) FORCE_TERMINATION_DUR | (11) TERMINATION_CHECK_COUNT | (12) OUTSIDE |  (13) TOTAL | (14) PERCENTAGE | (15) FORCED
Rank-0: (1) 0 | (2) 1311 | (3)0/100 | (4) 6 | (5) 108.146 | (6) 13.2161 | (7) 0.000230525 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
time-to-solution:136.152317
Fri Jul 29 03:59:36 2022	process 0 - Performed 28304640 patch updates in 136.153 seconds.
Fri Jul 29 03:59:36 2022	process 0 - Performed 1769040000000 cell updates in 136.153 seconds.
Fri Jul 29 03:59:36 2022	process 0 - => 1.29931e+10 CellUpdates/s
Fri Jul 29 03:59:36 2022	process 0 - => 3.50813e+12 FlOps/s
Rank-616: (1) 0 | (2) 1306 | (3)0/100 | (4) 5 | (5) 93.7125 | (6) 21.6699 | (7) 0.000180018 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 84.5588/100| (15)0 | (16) 1
Rank-356: (1) 0 | (2) 1235 | (3)0/100 | (4) 6 | (5) 111.389 | (6) 12.1808 | (7) 0.000210099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 90.4412/100| (15)0 | (16) 1
Rank-166: (1) 0 | (2) 1325 | (3)0/100 | (4) 4 | (5) 73.2488 | (6) 32.5701 | (7) 8.3196e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 77.2059/100| (15)0 | (16) 1
Rank-111: (1) 0 | (2) 1313 | (3)0/100 | (4) 6 | (5) 109.072 | (6) 13.4257 | (7) 0.000161152 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-651: (1) 0 | (2) 1322 | (3)0/100 | (4) 6 | (5) 108.033 | (6) 13.5806 | (7) 0.000209073 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-770: (1) 2 | (2) 1315 | (3)0.152091/100 | (4) 5 | (5) 91.4261 | (6) 23.2647 | (7) 0.000175376 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.8235/100| (15)0 | (16) 1
Rank-855: (1) 0 | (2) 1307 | (3)0/100 | (4) 5 | (5) 91.0236 | (6) 22.8827 | (7) 0.000203766 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.0882/100| (15)0 | (16) 1
Rank-614: (1) 0 | (2) 1317 | (3)0/100 | (4) 6 | (5) 108.649 | (6) 13.6945 | (7) 0.000113669 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-293: (1) 0 | (2) 1304 | (3)0/100 | (4) 6 | (5) 107.949 | (6) 13.9576 | (7) 0.00011403 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-527: (1) 0 | (2) 1321 | (3)0/100 | (4) 6 | (5) 108.06 | (6) 13.5251 | (7) 0.000167201 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-409: (1) 0 | (2) 1297 | (3)0/100 | (4) 6 | (5) 108.571 | (6) 13.49 | (7) 0.000226446 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-538: (1) 0 | (2) 1331 | (3)0/100 | (4) 5 | (5) 91.4628 | (6) 23.0207 | (7) 0.000243892 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.8235/100| (15)0 | (16) 1
Rank-438: (1) 0 | (2) 1306 | (3)0/100 | (4) 6 | (5) 108.428 | (6) 13.5151 | (7) 0.000162484 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-448: (1) 0 | (2) 1309 | (3)0/100 | (4) 6 | (5) 109.568 | (6) 12.8633 | (7) 0.000153552 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-495: (1) 0 | (2) 1317 | (3)0/100 | (4) 6 | (5) 109.232 | (6) 12.9914 | (7) 0.000183386 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-365: (1) 0 | (2) 1299 | (3)0/100 | (4) 6 | (5) 109.207 | (6) 13.2068 | (7) 0.000175183 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 89.7059/100| (15)0 | (16) 1
Rank-223: (1) 0 | (2) 1309 | (3)0/100 | (4) 6 | (5) 107.834 | (6) 13.802 | (7) 0.000229443 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-243: (1) 0 | (2) 1298 | (3)0/100 | (4) 6 | (5) 108.005 | (6) 13.3969 | (7) 0.000169437 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.9706/100| (15)0 | (16) 1
Rank-189: (1) 0 | (2) 1322 | (3)0/100 | (4) 5 | (5) 90.5915 | (6) 23.5344 | (7) 0.000167914 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 83.8235/100| (15)0 | (16) 1
Rank-83: (1) 2 | (2) 1311 | (3)0.152555/100 | (4) 5 | (5) 104.425 | (6) 15.8892 | (7) 0.00020443 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 136.152 | (14) 88.2353/100| (15)0 | (16) 1
