#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-static-16-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00807361 seconds
Distributing the actor graph took: 2.30271 seconds
Added actors in: 0.0441542 seconds.
Initialized connections of actors in: 0.0113475 seconds.
No Migration
Output number: 1, Rank-9: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 87.6298 | (6) 11.9674 | (7) 2.3576e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26063, 26063) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 450.956
Output number: 1, Rank-8: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 97.206 | (6) 2.15499 | (7) 2.8406e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (28422, 28422) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 513.295
Output number: 1, Rank-47: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 88.422 | (6) 10.8009 | (7) 2.204e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26000, 26000) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 463.395
Output number: 1, Rank-49: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 87.5494 | (6) 11.7501 | (7) 2.1408e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26042, 26042) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 447.856
Output number: 1, Rank-31: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 93.9406 | (6) 6.18961 | (7) 2.4609e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (25965, 25965) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 488.046
Output number: 1, Rank-35: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 88.3968 | (6) 10.8767 | (7) 2.6843e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (25962, 25962) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 463.623
Output number: 1, Rank-83: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 87.1279 | (6) 45.6112 | (7) 2.7276e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26185, 26185) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 363.394
Output number: 1, Rank-36: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 87.455 | (6) 12.7411 | (7) 2.6437e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (25945, 25945) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 458.24
Output number: 1, Rank-14: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 95.4425 | (6) 6.16837 | (7) 2.8306e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 56.1111/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (28485, 28485) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 502.401
Output number: 1, Rank-410: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 88.579 | (6) 44.3014 | (7) 2.209e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26782, 26782) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 361.462
Output number: 1, Rank-425: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 95.0938 | (6) 41.1161 | (7) 1.6097e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (28899, 28899) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 393.45
Output number: 1, Rank-102: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 85.9418 | (6) 45.7125 | (7) 2.8736e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26106, 26106) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 364.011
Output number: 1, Rank-340: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 95.2632 | (6) 40.9148 | (7) 1.3469e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (28961, 28961) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 392.649
Output number: 1, Rank-140: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 87.1529 | (6) 47.1389 | (7) 2.8308e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26429, 26429) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 360.995
Output number: 1, Rank-173: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 86.929 | (6) 45.2683 | (7) 2.1355e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26201, 26201) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 363.742
Output number: 1, Rank-131: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 88.0257 | (6) 45.1105 | (7) 2.4288e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26442, 26442) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 364.051
Output number: 1, Rank-65: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 94.5372 | (6) 40.8315 | (7) 2.4641e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (28461, 28461) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 397.508
Output number: 1, Rank-196: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 102.235 | (6) 37.8524 | (7) 2.534e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (28966, 28966) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 423.625
Output number: 1, Rank-303: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 94.3842 | (6) 41.6268 | (7) 2.1774e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (28574, 28574) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 395.448
Output number: 1, Rank-308: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 88.0712 | (6) 44.4874 | (7) 3.0762e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26178, 26178) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 365.264
Output number: 1, Rank-224: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 87.872 | (6) 44.6229 | (7) 3.033e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (26350, 26350) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 365.748
Output number: 1, Rank-32: (1) 0 | (2) 0 | (3)0/100 | (4) 11, 11 | (5) 87.5866 | (6) 12.439 | (7) 2.8262e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (25949, 25949) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 450.33
Output number: 1, Rank-379: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 96.0154 | (6) 41.8076 | (7) 2.0588e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (29185, 29185) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 390.589
Output number: 1, Rank-4: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 96.0691 | (6) 3.72701 | (7) 2.9e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (28457, 28457) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 498.018
Output number: 1, Rank-5: (1) 0 | (2) 0 | (3)0/100 | (4) 12, 12 | (5) 95.2983 | (6) 7.00742 | (7) 2.574e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 56.6667/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (28547, 28547) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 492.033
