#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-busy-2-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0010368 seconds
Distributing the actor graph took: 2.2019 seconds
Added actors in: 0.228508 seconds.
Initialized connections of actors in: 0.0110586 seconds.
Async Migration only
Output number: 1, Rank-29: (1) 117 | (2) 801 | (3)14.6067/100 | (4) 102, 102 | (5) 169.214 | (6) 4.8454 | (7) 1.2615e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.6667/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (50716, 50716) | (20) 1 | (21) 1 | (22) 0 | (23) 35 | (24) 3400.16
Output number: 1, Rank-20: (1) 114 | (2) 882 | (3)12.9252/100 | (4) 103, 103 | (5) 168.156 | (6) 5.28403 | (7) 0.000105414 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.1111/100 | (15) 0 | (17) (103, 103) | (18) X | (19) (50534, 50534) | (20) 1 | (21) 0 | (22) 0 | (23) 33 | (24) 3423.06
Output number: 1, Rank-22: (1) 90 | (2) 774 | (3)11.6279/100 | (4) 102, 102 | (5) 169.609 | (6) 4.58197 | (7) 3.9329e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.6667/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (51655, 51655) | (20) 1 | (21) 1 | (22) 0 | (23) 34 | (24) 3344.82
Output number: 1, Rank-23: (1) 119 | (2) 789 | (3)15.0824/100 | (4) 103, 103 | (5) 168.658 | (6) 5.052 | (7) 6.0569e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.1111/100 | (15) 0 | (17) (103, 103) | (18) X | (19) (50447, 50447) | (20) 1 | (21) 0 | (22) 0 | (23) 29 | (24) 3436.26
Output number: 1, Rank-24: (1) 107 | (2) 986 | (3)10.8519/100 | (4) 95, 95 | (5) 162.249 | (6) 7.31894 | (7) 4.7228e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 93.8889/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (47906, 47906) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 3135.39
Output number: 1, Rank-26: (1) 95 | (2) 878 | (3)10.82/100 | (4) 104, 104 | (5) 168.802 | (6) 4.99617 | (7) 9.6609e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.1111/100 | (15) 0 | (17) (104, 104) | (18) X | (19) (51316, 51316) | (20) 1 | (21) 0 | (22) 0 | (23) 17 | (24) 3416.33
Output number: 1, Rank-6: (1) 77 | (2) 406 | (3)18.9655/100 | (4) 34, 34 | (5) 99.9758 | (6) 1.36735 | (7) 6.8419e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 56.1111/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (29602, 29602) | (20) 1 | (21) 1 | (22) 0 | (23) 32 | (24) 1460.28
Output number: 1, Rank-10: (1) 106 | (2) 875 | (3)12.1143/100 | (4) 105, 105 | (5) 168.923 | (6) 4.82132 | (7) 8.1538e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.1111/100 | (15) 0 | (17) (105, 105) | (18) X | (19) (50750, 50750) | (20) 1 | (21) 0 | (22) 0 | (23) 36 | (24) 3490.78
Output number: 1, Rank-12: (1) 96 | (2) 787 | (3)12.1982/100 | (4) 100, 100 | (5) 168.997 | (6) 4.90867 | (7) 9.0595e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 96.1111/100 | (15) 0 | (17) (100, 100) | (18) X | (19) (50382, 50382) | (20) 1 | (21) 1 | (22) 0 | (23) 21 | (24) 3326.73
Output number: 1, Rank-13: (1) 86 | (2) 779 | (3)11.0398/100 | (4) 101, 101 | (5) 169.473 | (6) 4.65835 | (7) 6.2411e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.6667/100 | (15) 0 | (17) (101, 101) | (18) X | (19) (50925, 50925) | (20) 1 | (21) 0 | (22) 0 | (23) 50 | (24) 3356.7
Output number: 1, Rank-14: (1) 97 | (2) 839 | (3)11.5614/100 | (4) 101, 101 | (5) 168.903 | (6) 4.87393 | (7) 9.4941e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.1111/100 | (15) 0 | (17) (101, 101) | (18) X | (19) (50672, 50672) | (20) 1 | (21) 0 | (22) 0 | (23) 44 | (24) 3357.47
Output number: 1, Rank-15: (1) 109 | (2) 779 | (3)13.9923/100 | (4) 106, 106 | (5) 169.626 | (6) 4.6503 | (7) 4.6985e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.6667/100 | (15) 0 | (17) (106, 106) | (18) X | (19) (51694, 51694) | (20) 1 | (21) 0 | (22) 0 | (23) 43 | (24) 3472.97
Output number: 1, Rank-16: (1) 103 | (2) 803 | (3)12.8269/100 | (4) 101, 101 | (5) 168.75 | (6) 4.9308 | (7) 0.00010279 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 96.1111/100 | (15) 0 | (17) (101, 101) | (18) X | (19) (51187, 51187) | (20) 1 | (21) 1 | (22) 0 | (23) 41 | (24) 3327.02
Output number: 1, Rank-18: (1) 93 | (2) 841 | (3)11.0583/100 | (4) 103, 103 | (5) 169.959 | (6) 4.45232 | (7) 7.4072e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.6667/100 | (15) 0 | (17) (103, 103) | (18) X | (19) (51602, 51602) | (20) 1 | (21) 0 | (22) 0 | (23) 33 | (24) 3385.37
Output number: 1, Rank-36: (1) 113 | (2) 892 | (3)12.6682/100 | (4) 103, 103 | (5) 169.33 | (6) 4.75566 | (7) 4.9026e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.6667/100 | (15) 0 | (17) (103, 103) | (18) X | (19) (51182, 51182) | (20) 1 | (21) 1 | (22) 0 | (23) 28 | (24) 3401.55
Output number: 1, Rank-37: (1) 91 | (2) 789 | (3)11.5336/100 | (4) 106, 106 | (5) 168.961 | (6) 4.80356 | (7) 5.2916e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.1111/100 | (15) 0 | (17) (106, 106) | (18) X | (19) (51612, 51612) | (20) 1 | (21) 1 | (22) 0 | (23) 38 | (24) 3465.06
Output number: 1, Rank-32: (1) 115 | (2) 809 | (3)14.2151/100 | (4) 102, 102 | (5) 168.778 | (6) 5.1099 | (7) 9.8985e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.1111/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (51081, 51081) | (20) 1 | (21) 0 | (22) 0 | (23) 34 | (24) 3356.83
Output number: 1, Rank-33: (1) 106 | (2) 868 | (3)12.212/100 | (4) 101, 101 | (5) 166.998 | (6) 5.61673 | (7) 3.4769e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 95.5556/100 | (15) 0 | (17) (101, 101) | (18) X | (19) (50049, 50049) | (20) 1 | (21) 1 | (22) 0 | (23) 44 | (24) 3368.52
Output number: 1, Rank-39: (1) 116 | (2) 862 | (3)13.4571/100 | (4) 103, 103 | (5) 166.79 | (6) 5.73812 | (7) 7.223e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 95.5556/100 | (15) 0 | (17) (103, 103) | (18) X | (19) (50565, 50565) | (20) 1 | (21) 0 | (22) 0 | (23) 42 | (24) 3392.26
Output number: 1, Rank-8: (1) 110 | (2) 872 | (3)12.6147/100 | (4) 101, 101 | (5) 168.538 | (6) 5.03926 | (7) 4.6456e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 96.1111/100 | (15) 0 | (17) (101, 101) | (18) X | (19) (50597, 50597) | (20) 1 | (21) 1 | (22) 0 | (23) 20 | (24) 3392.69
Output number: 1, Rank-35: (1) 112 | (2) 819 | (3)13.6752/100 | (4) 104, 104 | (5) 168.633 | (6) 5.02604 | (7) 1.5466e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.1111/100 | (15) 0 | (17) (104, 104) | (18) X | (19) (50818, 50818) | (20) 1 | (21) 1 | (22) 0 | (23) 35 | (24) 3460.39
Output number: 1, Rank-34: (1) 110 | (2) 901 | (3)12.2087/100 | (4) 102, 102 | (5) 167.29 | (6) 5.47938 | (7) 7.2623e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 95.5556/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (50117, 50117) | (20) 1 | (21) 0 | (22) 0 | (23) 15 | (24) 3402.8
Output number: 1, Rank-54: (1) 104 | (2) 856 | (3)12.1495/100 | (4) 104, 104 | (5) 168.789 | (6) 4.97073 | (7) 8.1371e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.1111/100 | (15) 0 | (17) (104, 104) | (18) X | (19) (50450, 50450) | (20) 1 | (21) 0 | (22) 0 | (23) 37 | (24) 3475.49
Output number: 1, Rank-46: (1) 109 | (2) 854 | (3)12.7635/100 | (4) 104, 104 | (5) 168.111 | (6) 5.17506 | (7) 9.0373e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.1111/100 | (15) 0 | (17) (104, 104) | (18) X | (19) (50932, 50932) | (20) 1 | (21) 0 | (22) 0 | (23) 32 | (24) 3434.41
Output number: 1, Rank-53: (1) 102 | (2) 860 | (3)11.8605/100 | (4) 104, 104 | (5) 169.473 | (6) 4.61232 | (7) 4.2439e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.6667/100 | (15) 0 | (17) (104, 104) | (18) X | (19) (51214, 51214) | (20) 1 | (21) 0 | (22) 0 | (23) 48 | (24) 3439.5
Output number: 1, Rank-49: (1) 94 | (2) 775 | (3)12.129/100 | (4) 104, 104 | (5) 168.668 | (6) 4.92616 | (7) 6.983e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.1111/100 | (15) 0 | (17) (104, 104) | (18) X | (19) (50971, 50971) | (20) 1 | (21) 1 | (22) 0 | (23) 38 | (24) 3438.47
Output number: 1, Rank-42: (1) 101 | (2) 804 | (3)12.5622/100 | (4) 106, 106 | (5) 168.974 | (6) 4.83424 | (7) 7.7798e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.1111/100 | (15) 0 | (17) (106, 106) | (18) X | (19) (51343, 51343) | (20) 1 | (21) 1 | (22) 0 | (23) 37 | (24) 3482.25
Output number: 1, Rank-55: (1) 96 | (2) 803 | (3)11.9552/100 | (4) 102, 102 | (5) 168.547 | (6) 5.02512 | (7) 6.2084e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.1111/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (50992, 50992) | (20) 1 | (21) 1 | (22) 0 | (23) 18 | (24) 3369.74
Output number: 1, Rank-41: (1) 129 | (2) 836 | (3)15.4306/100 | (4) 102, 102 | (5) 169.189 | (6) 4.84481 | (7) 3.3942e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.6667/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (51199, 51199) | (20) 1 | (21) 1 | (22) 0 | (23) 41 | (24) 3367.94
Output number: 1, Rank-31: (1) 122 | (2) 823 | (3)14.8238/100 | (4) 107, 107 | (5) 170.06 | (6) 4.52271 | (7) 5.53e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.6667/100 | (15) 0 | (17) (106, 106) | (18) X | (19) (51548, 51548) | (20) 1 | (21) 1 | (22) 0 | (23) 36 | (24) 3527.54
Output number: 1, Rank-50: (1) 93 | (2) 741 | (3)12.5506/100 | (4) 99, 99 | (5) 168.811 | (6) 4.82879 | (7) 2.0386e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.1111/100 | (15) 0 | (17) (99, 99) | (18) X | (19) (50599, 50599) | (20) 1 | (21) 0 | (22) 0 | (23) 31 | (24) 3302.01
