#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-random-24-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0149736 seconds
Distributing the actor graph took: 2.35586 seconds
Added actors in: 0.0472006 seconds.
Initialized connections of actors in: 0.0117316 seconds.
Async Migration only
Rank-25: (1) 74 | (2) 1274 | (3)5.80848/100 | (4) 7 | (5) 140.414 | (6) 6.83261 | (7) 0.000106013 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.0784/100| (15)0 | (16) 1
Rank-26: (1) 3 | (2) 1277 | (3)0.234926/100 | (4) 7 | (5) 135.647 | (6) 8.86538 | (7) 0.000139723 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 94.1176/100| (15)0 | (16) 1
Rank-27: (1) 81 | (2) 1266 | (3)6.3981/100 | (4) 7 | (5) 140.214 | (6) 6.93433 | (7) 0.000115318 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.0784/100| (15)0 | (16) 1
Rank-1: (1) 79 | (2) 1263 | (3)6.25495/100 | (4) 8 | (5) 141.531 | (6) 6.28558 | (7) 9.1595e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.0784/100| (15)0 | (16) 1
Rank-2: (1) 63 | (2) 1291 | (3)4.87994/100 | (4) 8 | (5) 141.678 | (6) 6.22115 | (7) 0.00014226 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.0784/100| (15)0 | (16) 1
Rank-3: (1) 62 | (2) 1276 | (3)4.85893/100 | (4) 8 | (5) 141.578 | (6) 6.24153 | (7) 5.4263e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.0784/100| (15)0 | (16) 1
Rank-4: (1) 66 | (2) 1258 | (3)5.24642/100 | (4) 7 | (5) 141.971 | (6) 5.96934 | (7) 9.7036e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.0784/100| (15)0 | (16) 1
Rank-5: (1) 86 | (2) 1266 | (3)6.79305/100 | (4) 8 | (5) 142.12 | (6) 6.08609 | (7) 0.000131385 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.732/100| (15)0 | (16) 1
Rank-6: (1) 97 | (2) 1250 | (3)7.76/100 | (4) 8 | (5) 142.388 | (6) 5.99499 | (7) 0.000124406 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.732/100| (15)0 | (16) 1
Rank-7: (1) 88 | (2) 1266 | (3)6.95103/100 | (4) 8 | (5) 142.079 | (6) 6.12035 | (7) 8.5478e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.732/100| (15)0 | (16) 1
Rank-8: (1) 99 | (2) 1249 | (3)7.92634/100 | (4) 8 | (5) 142.828 | (6) 5.96882 | (7) 8.0625e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 153.511 | (14) 96.732/100| (15)0 | (16) 1
