#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-contig/pond-sw-local-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.252825 seconds
Distributing the actor graph took: 2.42239 seconds
Added actors in: 0.0859055 seconds.
Initialized connections of actors in: 0.0117518 seconds.
Async Migration only
Output number: 1, Rank-27: (1) 3 | (2) 1507 | (3)0.199071/100 | (4) 6, 6 | (5) 76.5204 | (6) 23.7151 | (7) 6.5346e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22628, 22628) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 247.329 | (25) (42.705, 28-18) | (26) 1 | (27) -647.608
Output number: 1, Rank-3: (1) 0 | (2) 1496 | (3)0/100 | (4) 6, 6 | (5) 75.3531 | (6) 25.0513 | (7) 9.8651e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22324, 22324) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 246.282 | (25) (43.0295, 18-18) | (26) 1 | (27) 20.6814
Output number: 1, Rank-4: (1) 0 | (2) 1518 | (3)0/100 | (4) 6, 6 | (5) 75.739 | (6) 23.9414 | (7) 4.1679e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22319, 22319) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 256.632 | (25) (43.2872, 18-21) | (26) 1 | (27) 85.8952
Output number: 1, Rank-5: (1) 0 | (2) 1526 | (3)0/100 | (4) 6, 6 | (5) 75.5611 | (6) 24.5795 | (7) 0.000114557 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22334, 22334) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 245.716 | (25) (42.5736, 20-22) | (26) 1 | (27) 27.7626
Output number: 1, Rank-7: (1) 0 | (2) 1503 | (3)0/100 | (4) 6, 6 | (5) 75.3733 | (6) 25.6376 | (7) 9.1536e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 56.1111/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22331, 22331) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 251.755 | (25) (42.4279, 17-25) | (26) 1 | (27) 81.3114
Output number: 1, Rank-15: (1) 1 | (2) 1476 | (3)0.0677507/100 | (4) 6, 6 | (5) 75.5381 | (6) 25.0037 | (7) 6.9839e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22454, 22454) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 243.974 | (25) (42.0669, 32-17) | (26) 1 | (27) -426.835
Output number: 1, Rank-0: (1) 1 | (2) 1522 | (3)0.065703/100 | (4) 6, 6 | (5) 74.634 | (6) 25.2249 | (7) 3.7301e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22439, 22439) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 240.411 | (25) (42.0786, 25-19) | (26) 1 | (27) 34.6748
Output number: 1, Rank-238: (1) 0 | (2) 1574 | (3)0/100 | (4) 5, 5 | (5) 61.6377 | (6) 60.2049 | (7) 8.572e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18752, 18752) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 162.794 | (25) (33.3551, 37-4) | (26) 26239 | (27) -5.68434e-13
Output number: 1, Rank-94: (1) 1 | (2) 1529 | (3)0.0654022/100 | (4) 6, 6 | (5) 74.8468 | (6) 25.1448 | (7) 0.000135864 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22371, 22371) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 245.527 | (25) (42.3815, 6-26) | (26) 4930 | (27) -0.42566
Output number: 1, Rank-373: (1) 0 | (2) 1569 | (3)0/100 | (4) 6, 6 | (5) 74.1761 | (6) 51.5973 | (7) 3.19e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22638, 22638) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 195.942 | (25) (33.0008, 64-35) | (26) 25289 | (27) -0.3616
Output number: 1, Rank-149: (1) 0 | (2) 1561 | (3)0/100 | (4) 5, 5 | (5) 62.63 | (6) 60.1795 | (7) 0.000138202 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18691, 18691) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 167.163 | (25) (33.8746, 26-7) | (26) 2647 | (27) -0.41752
Output number: 1, Rank-290: (1) 3 | (2) 1604 | (3)0.187032/100 | (4) 5, 5 | (5) 68.9464 | (6) 56.2459 | (7) 0.000139382 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (20814, 20814) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.966 | (25) (33.3807, 67-8) | (26) 41780 | (27) -1.27898e-13
Output number: 1, Rank-515: (1) 0 | (2) 1595 | (3)0/100 | (4) 6, 6 | (5) 73.7966 | (6) 51.3453 | (7) 4.2388e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22463, 22463) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.298 | (25) (33.2744, 21-43) | (26) 237 | (27) -3.83693e-13
Output number: 1, Rank-502: (1) 1 | (2) 1581 | (3)0.0632511/100 | (4) 5, 5 | (5) 68.5183 | (6) 55.2926 | (7) 0.000126712 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (20809, 20809) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 163.936 | (25) (33.3068, 5-51) | (26) 4149 | (27) -0.52771
Output number: 1, Rank-848: (1) 0 | (2) 1596 | (3)0/100 | (4) 6, 6 | (5) 75.0153 | (6) 51.2478 | (7) 0.000135248 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22780, 22780) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.151 | (25) (33.2787, 55-69) | (26) 80885 | (27) -0.54888
Output number: 1, Rank-795: (1) 0 | (2) 1599 | (3)0/100 | (4) 6, 6 | (5) 74.5551 | (6) 51.5574 | (7) 4.5568e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22723, 22723) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.331 | (25) (33.2692, 45-68) | (26) 35016 | (27) -1.13687e-13
Output number: 1, Rank-422: (1) 0 | (2) 1565 | (3)0/100 | (4) 6, 6 | (5) 75.7765 | (6) 50.4648 | (7) 0.000145332 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22419, 22419) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 201.976 | (25) (34.2966, 32-26) | (26) 2323 | (27) -1.21711
Output number: 1, Rank-835: (1) 0 | (2) 1560 | (3)0/100 | (4) 5, 5 | (5) 62.2454 | (6) 59.729 | (7) 0.000101226 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18859, 18859) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.559 | (25) (33.5874, 43-54) | (26) 77827 | (27) 1.42109e-14
Output number: 1, Rank-616: (1) 0 | (2) 1432 | (3)0/100 | (4) 6, 6 | (5) 75.3994 | (6) 50.3101 | (7) 6.5667e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22641, 22641) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 199.098 | (25) (33.8338, 0-69) | (26) 33476 | (27) -0.20628
Output number: 1, Rank-404: (1) 0 | (2) 1563 | (3)0/100 | (4) 6, 6 | (5) 75.9165 | (6) 50.6052 | (7) 8.0202e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22441, 22441) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 202.079 | (25) (34.6136, 37-17) | (26) 10513 | (27) -0.34651
Output number: 1, Rank-335: (1) 0 | (2) 1586 | (3)0/100 | (4) 6, 6 | (5) 74.3193 | (6) 52.2634 | (7) 5.8272e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22609, 22609) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.352 | (25) (33.0553, 64-14) | (26) 38531 | (27) -0.44927
Output number: 1, Rank-134: (1) 0 | (2) 1566 | (3)0/100 | (4) 6, 6 | (5) 75.3312 | (6) 50.7223 | (7) 0.000120936 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22461, 22461) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 200.649 | (25) (35.121, 35-10) | (26) 823 | (27) -1.11674
Output number: 1, Rank-557: (1) 0 | (2) 1553 | (3)0/100 | (4) 5, 5 | (5) 61.5157 | (6) 60.6101 | (7) 4.4471e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18692, 18692) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 163.874 | (25) (33.3069, 24-36) | (26) 5830 | (27) -5.68434e-13
Output number: 1, Rank-665: (1) 0 | (2) 1560 | (3)0/100 | (4) 5, 5 | (5) 63.6415 | (6) 58.0939 | (7) 0.000146135 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (19167, 19167) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 165.704 | (25) (33.8598, 14-63) | (26) 31482 | (27) -7.31859e-13
Output number: 1, Rank-207: (1) 0 | (2) 1593 | (3)0/100 | (4) 5, 5 | (5) 61.7158 | (6) 60.3081 | (7) 9.2693e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18622, 18622) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.885 | (25) (33.5403, 13-12) | (26) 7273 | (27) -0.94655
Output number: 1, Rank-184: (1) 0 | (2) 1562 | (3)0/100 | (4) 5, 5 | (5) 63.6038 | (6) 60.7697 | (7) 4e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (19365, 19365) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 163.294 | (25) (32.8306, 10-8) | (26) 145521 | (27) -0.32002
Output number: 1, Rank-610: (1) 0 | (2) 1540 | (3)0/100 | (4) 6, 6 | (5) 76.3407 | (6) 52.1507 | (7) 0.000135309 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22643, 22643) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 201.977 | (25) (34.3282, 30-70) | (26) 38967 | (27) -0.6865
Output number: 1, Rank-699: (1) 0 | (2) 1564 | (3)0/100 | (4) 6, 6 | (5) 74.3778 | (6) 55.7757 | (7) 0.000105848 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.2222/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22581, 22581) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.834 | (25) (33.2936, 43-45) | (26) 43166 | (27) -0.75792
Output number: 1, Rank-728: (1) 0 | (2) 1551 | (3)0/100 | (4) 5, 5 | (5) 62.1714 | (6) 59.7663 | (7) 4.7442e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18847, 18847) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 163.83 | (25) (33.2013, 52-42) | (26) 3488 | (27) -0.63388
Output number: 1, Rank-717: (1) 1 | (2) 1564 | (3)0.0639386/100 | (4) 6, 6 | (5) 74.5117 | (6) 51.0948 | (7) 2.504e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22550, 22550) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.434 | (25) (33.3878, 42-41) | (26) 91336 | (27) -0.42097
Output number: 1, Rank-774: (1) 0 | (2) 1589 | (3)0/100 | (4) 6, 6 | (5) 74.5062 | (6) 51.6059 | (7) 0.000140118 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22713, 22713) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.549 | (25) (32.8021, 66-49) | (26) 6118 | (27) -1.26133
Output number: 1, Rank-77: (1) 4 | (2) 1493 | (3)0.267917/100 | (4) 6, 6 | (5) 77.182 | (6) 22.5944 | (7) 8.2981e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22711, 22711) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 246.416 | (25) (42.9068, 8-17) | (26) 25235 | (27) -277.944
Output number: 1, Rank-891: (1) 1 | (2) 1537 | (3)0.0650618/100 | (4) 6, 6 | (5) 75.7383 | (6) 51.1157 | (7) 0.000104869 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (23037, 23037) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.899 | (25) (33.2277, 69-57) | (26) 79735 | (27) -0.67331
Output number: 1, Rank-470: (1) 0 | (2) 1576 | (3)0/100 | (4) 5, 5 | (5) 61.8852 | (6) 60.9161 | (7) 8.1651e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18698, 18698) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 165.099 | (25) (33.8332, 5-37) | (26) 71068 | (27) -0.50264
