#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-global-random-8-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00346747 seconds
Distributing the actor graph took: 2.32179 seconds
Added actors in: 0.0626771 seconds.
Initialized connections of actors in: 0.011594 seconds.
Async Migration only
Output number: 1, Rank-199: (1) 0 | (2) 1672 | (3)0/100 | (4) 23, 23 | (5) 164.911 | (6) 7.12523 | (7) 3.6793e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50419, 50419) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 750.041
Output number: 1, Rank-33: (1) 0 | (2) 1684 | (3)0/100 | (4) 23, 23 | (5) 167.582 | (6) 5.87638 | (7) 8.1049e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50505, 50505) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 762.817
Output number: 1, Rank-104: (1) 0 | (2) 1629 | (3)0/100 | (4) 24, 24 | (5) 172.852 | (6) 3.37192 | (7) 6.0984e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.7778/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (52563, 52563) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 787.336
Output number: 1, Rank-149: (1) 0 | (2) 1653 | (3)0/100 | (4) 23, 23 | (5) 166.384 | (6) 6.38981 | (7) 8.2098e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50535, 50535) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 756.275
Output number: 1, Rank-63: (1) 0 | (2) 1640 | (3)0/100 | (4) 23, 23 | (5) 166.719 | (6) 6.19089 | (7) 0.000117485 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50639, 50639) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 755.693
Output number: 1, Rank-219: (1) 0 | (2) 1661 | (3)0/100 | (4) 23, 23 | (5) 165.151 | (6) 7.00754 | (7) 0.000108577 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50334, 50334) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 754.404
Output number: 1, Rank-45: (1) 0 | (2) 1642 | (3)0/100 | (4) 23, 23 | (5) 166.734 | (6) 6.32474 | (7) 5.4392e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50602, 50602) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 757.264
Output number: 1, Rank-23: (1) 0 | (2) 1674 | (3)0/100 | (4) 23, 23 | (5) 166.892 | (6) 6.14633 | (7) 9.8488e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50656, 50656) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 756.31
Output number: 1, Rank-4: (1) 0 | (2) 1664 | (3)0/100 | (4) 23, 23 | (5) 166.952 | (6) 6.18615 | (7) 4.8319e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50737, 50737) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 756.978
Output number: 1, Rank-5: (1) 1 | (2) 1570 | (3)0.0636943/100 | (4) 24, 24 | (5) 174.209 | (6) 2.82035 | (7) 3.1816e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 98.3333/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (52973, 52973) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 788.819
