#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-static-8-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00325729 seconds
Distributing the actor graph took: 2.35878 seconds
Added actors in: 0.0625235 seconds.
Initialized connections of actors in: 0.0114286 seconds.
No Migration
Output number: 1, Rank-14: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 161.493 | (6) 9.38198 | (7) 0.000151587 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (49128, 49128) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 754.636
Output number: 1, Rank-25: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 161.324 | (6) 9.44085 | (7) 4.1392e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (48872, 48872) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 759.726
Output number: 1, Rank-1: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 160.519 | (6) 9.77435 | (7) 0.00012305 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (48807, 48807) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 760.811
Output number: 1, Rank-13: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 159.949 | (6) 9.94766 | (7) 4.474e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 93.8889/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (48630, 48630) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 756.563
Output number: 1, Rank-114: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 160.144 | (6) 9.60221 | (7) 0.000112202 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 93.8889/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (48908, 48908) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 750.353
Output number: 1, Rank-164: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 162.205 | (6) 8.79838 | (7) 7.6661e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (49231, 49231) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 755.369
Output number: 1, Rank-34: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 160.179 | (6) 9.81568 | (7) 0.000133849 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 93.8889/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (48778, 48778) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 755.402
Output number: 1, Rank-27: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 162.459 | (6) 8.60319 | (7) 0.000101776 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (48869, 48869) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 763.98
Output number: 1, Rank-10: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 160.278 | (6) 9.88758 | (7) 8.7965e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 94.4444/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (48666, 48666) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 759.598
Output number: 1, Rank-115: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 162.634 | (6) 8.47989 | (7) 4.6988e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (49134, 49134) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 760.738
Output number: 1, Rank-143: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 161.132 | (6) 9.31438 | (7) 8.3559e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (48872, 48872) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 757.655
Output number: 1, Rank-183: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 162.552 | (6) 8.49129 | (7) 8.6261e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (49227, 49227) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 758.551
