#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-global-busy-16-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00946078 seconds
Distributing the actor graph took: 42.5784 seconds
Added actors in: 0.131533 seconds.
Initialized connections of actors in: 0.0452831 seconds.
Async Migration only
Output number: 1, Rank-19: (1) 0 | (2) 1790 | (3)0/100 | (4) 47, 47 | (5) 6.25422 | (6) 80.5796 | (7) 0.000149283 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (169760, 169760) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 17.2005
Output number: 1, Rank-21: (1) 11 | (2) 1782 | (3)0.617284/100 | (4) 55, 55 | (5) 21.0962 | (6) 74.5687 | (7) 0.000112582 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (55, 55) | (18) X | (19) (168255, 168255) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 183.575
Output number: 1, Rank-23: (1) 0 | (2) 1790 | (3)0/100 | (4) 47, 47 | (5) 6.1417 | (6) 81.8806 | (7) 0.00016072 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (170284, 170284) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 17.0438
Output number: 1, Rank-25: (1) 19 | (2) 1778 | (3)1.06862/100 | (4) 64, 64 | (5) 21.6118 | (6) 73.7264 | (7) 6.3262e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (64, 64) | (18) X | (19) (174937, 174937) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 224.156
Output number: 1, Rank-1: (1) 11 | (2) 1786 | (3)0.615901/100 | (4) 57, 57 | (5) 10.3026 | (6) 78.935 | (7) 3.9357e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 49.4444/100 | (15) 0 | (17) (57, 57) | (18) X | (19) (172540, 172540) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 86.8726
Output number: 1, Rank-2: (1) 8 | (2) 1785 | (3)0.448179/100 | (4) 55, 55 | (5) 14.8877 | (6) 76.4675 | (7) 0.000141258 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (55, 55) | (18) X | (19) (174606, 174606) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 151.555
Output number: 1, Rank-3: (1) 14 | (2) 1784 | (3)0.784753/100 | (4) 59, 59 | (5) 11.5521 | (6) 78.3212 | (7) 0.000180302 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 49.4444/100 | (15) 0 | (17) (59, 59) | (18) X | (19) (168017, 168017) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 87.6238
Output number: 1, Rank-5: (1) 4 | (2) 1789 | (3)0.223589/100 | (4) 50, 50 | (5) 6.82717 | (6) 80.7108 | (7) 2.2004e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (50, 50) | (18) X | (19) (166561, 166561) | (20) 0 | (21) 1 | (22) 0 | (23) 1 | (24) 52.4035
Output number: 1, Rank-15: (1) 0 | (2) 1790 | (3)0/100 | (4) 47, 47 | (5) 6.20414 | (6) 81.5554 | (7) 0.000125095 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (169656, 169656) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 17.2719
Output number: 1, Rank-17: (1) 15 | (2) 1777 | (3)0.844119/100 | (4) 60, 60 | (5) 27.2255 | (6) 73.4951 | (7) 9.2068e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (60, 60) | (18) X | (19) (174001, 174001) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 267.795
Output number: 1, Rank-390: (1) 8 | (2) 1786 | (3)0.447928/100 | (4) 54, 54 | (5) 13.7018 | (6) 77.3413 | (7) 0.000151947 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 50.5556/100 | (15) 0 | (17) (54, 54) | (18) X | (19) (170583, 170583) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 118.439
