#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-global-random-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000884131 seconds
Distributing the actor graph took: 43.139 seconds
Added actors in: 1.75356 seconds.
Initialized connections of actors in: 0.0487144 seconds.
Async Migration only
Output number: 1, Rank-24: (1) 6 | (2) 1766 | (3)0.339751/100 | (4) 751, 751 | (5) 8.84956 | (6) 51.7276 | (7) 0.000494569 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 33.3333/100 | (15) 0 | (17) (751, 751) | (18) X | (19) (177229, 177229) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 371.597
Output number: 1, Rank-0: (1) 0 | (2) 1581 | (3)0/100 | (4) 734, 734 | (5) 77.6961 | (6) 30.342 | (7) 0.00055512 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 60/100 | (15) 0 | (17) (734, 734) | (18) X | (19) (127207, 127207) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4585.34
Output number: 1, Rank-8: (1) 2 | (2) 1766 | (3)0.11325/100 | (4) 740, 740 | (5) 8.1567 | (6) 52.5012 | (7) 0.000560504 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 33.3333/100 | (15) 0 | (17) (740, 740) | (18) X | (19) (150941, 150941) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 380.237
Output number: 1, Rank-12: (1) 4 | (2) 1765 | (3)0.226629/100 | (4) 754, 754 | (5) 8.03742 | (6) 48.6333 | (7) 0.00056625 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 31.1111/100 | (15) 0 | (17) (754, 754) | (18) X | (19) (171245, 171245) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 322.865
Output number: 1, Rank-21: (1) 4 | (2) 1780 | (3)0.224719/100 | (4) 737, 737 | (5) 7.53265 | (6) 50.5824 | (7) 0.000661091 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 32.2222/100 | (15) 0 | (17) (737, 737) | (18) X | (19) (159396, 159396) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 310.748
Output number: 1, Rank-27: (1) 2 | (2) 1782 | (3)0.112233/100 | (4) 733, 733 | (5) 6.55144 | (6) 50.0354 | (7) 0.000574223 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 31.1111/100 | (15) 0 | (17) (733, 733) | (18) X | (19) (161899, 161899) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 271.019
Output number: 1, Rank-2: (1) 2 | (2) 1781 | (3)0.112296/100 | (4) 729, 729 | (5) 5.90478 | (6) 48.1336 | (7) 0.000457052 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 30/100 | (15) 0 | (17) (729, 729) | (18) X | (19) (144401, 144401) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 265.234
Output number: 1, Rank-6: (1) 0 | (2) 1126 | (3)0/100 | (4) 530, 530 | (5) 116.153 | (6) 20.9372 | (7) 0.000525555 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (530, 530) | (18) X | (19) (140457, 140457) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3952.3
Output number: 1, Rank-10: (1) 0 | (2) 1104 | (3)0/100 | (4) 564, 564 | (5) 111.26 | (6) 22.3376 | (7) 0.000532955 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (564, 564) | (18) X | (19) (155845, 155845) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3359.86
Output number: 1, Rank-18: (1) 1 | (2) 1781 | (3)0.0561482/100 | (4) 740, 740 | (5) 7.12425 | (6) 50.5985 | (7) 0.000510904 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 31.6667/100 | (15) 0 | (17) (740, 740) | (18) X | (19) (153556, 153556) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 303.441
Output number: 1, Rank-14: (1) 5 | (2) 1779 | (3)0.281057/100 | (4) 757, 757 | (5) 5.91469 | (6) 55.1691 | (7) 0.000106105 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 33.8889/100 | (15) 0 | (17) (757, 757) | (18) X | (19) (136055, 136055) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 304.462
