#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-random-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00271909 seconds
Distributing the actor graph took: 2.1697 seconds
Added actors in: 0.152963 seconds.
Initialized connections of actors in: 0.0116489 seconds.
Async Migration only
Output number: 1, Rank-106: (1) 5 | (2) 1343 | (3)0.372301/100 | (4) 46, 46 | (5) 175.238 | (6) 2.16081 | (7) 0.000118526 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.3333/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (53260, 53260) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1509.86 | (25) (33.6637, 15-30) | (26) 1 | (27) 31.647
Output number: 1, Rank-71: (1) 3 | (2) 1074 | (3)0.27933/100 | (4) 44, 44 | (5) 179.34 | (6) 0.279081 | (7) 6.0344e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (50337, 50337) | (20) 1 | (21) 1 | (22) 0 | (23) 7 | (24) 1565.96 | (25) (36.3405, 64-7) | (26) 1 | (27) 247.934
Output number: 1, Rank-54: (1) 5 | (2) 1440 | (3)0.347222/100 | (4) 47, 47 | (5) 176.339 | (6) 1.56006 | (7) 8.3754e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.3333/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (53629, 53629) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 1542.57 | (25) (33.398, 20-56) | (26) 1 | (27) 130.201
Output number: 1, Rank-1: (1) 3 | (2) 1455 | (3)0.206186/100 | (4) 47, 47 | (5) 173.348 | (6) 2.9625 | (7) 5.5513e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (52871, 52871) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 1534.75 | (25) (34.616, 39-55) | (26) 1 | (27) 194.559
Output number: 1, Rank-2: (1) 4 | (2) 1291 | (3)0.309837/100 | (4) 47, 47 | (5) 178.316 | (6) 0.734276 | (7) 0.000115136 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 99.4444/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (53640, 53640) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 1560.91 | (25) (33.4709, 42-48) | (26) 1 | (27) 131.89
Output number: 1, Rank-3: (1) 1 | (2) 1502 | (3)0.0665779/100 | (4) 45, 45 | (5) 171.522 | (6) 3.65675 | (7) 5.8632e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 97.2222/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (52287, 52287) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 1475.41 | (25) (33.3059, 47-43) | (26) 1 | (27) 130.826
Output number: 1, Rank-4: (1) 2 | (2) 1383 | (3)0.144613/100 | (4) 46, 46 | (5) 175.061 | (6) 2.19573 | (7) 5.9195e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 98.3333/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (53113, 53113) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1511.49 | (25) (33.3387, 34-43) | (26) 1 | (27) 65.328
Output number: 1, Rank-5: (1) 0 | (2) 1311 | (3)0/100 | (4) 46, 46 | (5) 173.987 | (6) 2.71016 | (7) 7.392e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 97.7778/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (52985, 52985) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1501.16 | (25) (33.3507, 35-40) | (26) 1 | (27) 96.5539
Output number: 1, Rank-6: (1) 4 | (2) 1488 | (3)0.268817/100 | (4) 45, 45 | (5) 171.579 | (6) 3.6716 | (7) 6.9545e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 97.2222/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (51408, 51408) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 1495.94 | (25) (35.1188, 41-36) | (26) 1 | (27) 131.656
Output number: 1, Rank-8: (1) 2 | (2) 1285 | (3)0.155642/100 | (4) 44, 44 | (5) 169.984 | (6) 4.51343 | (7) 0.000134926 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.6667/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (50929, 50929) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1463.86 | (25) (33.9389, 43-66) | (26) 1 | (27) 66.3282
