#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-offload-local-single-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00163153 seconds
Distributing the actor graph took: 2.22721 seconds
Added actors in: 0.146208 seconds.
Initialized connections of actors in: 0.0116424 seconds.
Output number: 1, Rank-39: (1) 64 | (2) 64 | (3)100/100 | (4) 53, 53 | (5) 146.578 | (6) 13.5311 | (7) 4.9235e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 88.8889/100 | (15) 0 | (17) (53, 53) | (18) X | (19) (41486, 41486) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 1870.48
Output number: 1, Rank-5: (1) 107 | (2) 107 | (3)100/100 | (4) 20, 20 | (5) 98.8001 | (6) 1.70149 | (7) 5.0779e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 55.5556/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (29080, 29080) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 841.451
Output number: 1, Rank-11: (1) 107 | (2) 107 | (3)100/100 | (4) 20, 20 | (5) 98.9615 | (6) 1.76269 | (7) 5.5981e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 55.5556/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (29275, 29275) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 833.65
Output number: 1, Rank-12: (1) 76 | (2) 76 | (3)100/100 | (4) 21, 21 | (5) 100.709 | (6) 1.34281 | (7) 6.9562e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 56.6667/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (29617, 29617) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 861.813
Output number: 1, Rank-16: (1) 108 | (2) 109 | (3)99.0826/100 | (4) 68, 68 | (5) 172.184 | (6) 3.28386 | (7) 0.000117797 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 97.2222/100 | (15) 0 | (17) (68, 68) | (18) X | (19) (52311, 52311) | (20) 1 | (21) 1 | (22) 0 | (23) 20 | (24) 2232.23
Output number: 1, Rank-17: (1) 59 | (2) 59 | (3)100/100 | (4) 68, 68 | (5) 165.428 | (6) 5.86779 | (7) 5.2514e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 95/100 | (15) 0 | (17) (68, 68) | (18) X | (19) (50279, 50279) | (20) 1 | (21) 0 | (22) 0 | (23) 13 | (24) 2232.4
Output number: 1, Rank-18: (1) 99 | (2) 99 | (3)100/100 | (4) 66, 66 | (5) 170.999 | (6) 3.62762 | (7) 0.000101543 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.6667/100 | (15) 0 | (17) (66, 66) | (18) X | (19) (52126, 52126) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 2157.91
Output number: 1, Rank-19: (1) 117 | (2) 117 | (3)100/100 | (4) 63, 63 | (5) 168.254 | (6) 4.85186 | (7) 8.1436e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.1111/100 | (15) 0 | (17) (63, 63) | (18) X | (19) (50579, 50579) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 2089.2
Output number: 1, Rank-21: (1) 139 | (2) 139 | (3)100/100 | (4) 58, 58 | (5) 166.464 | (6) 5.58964 | (7) 0.000154964 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 95.5556/100 | (15) 0 | (17) (58, 58) | (18) X | (19) (50570, 50570) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1902.31
Output number: 1, Rank-22: (1) 126 | (2) 127 | (3)99.2126/100 | (4) 59, 59 | (5) 164.966 | (6) 6.19023 | (7) 7.869e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 95/100 | (15) 0 | (17) (59, 59) | (18) X | (19) (49537, 49537) | (20) 1 | (21) 0 | (22) 0 | (23) 24 | (24) 1962.89
Output number: 1, Rank-24: (1) 65 | (2) 65 | (3)100/100 | (4) 64, 64 | (5) 163.343 | (6) 6.68618 | (7) 0.000111848 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 94.4444/100 | (15) 0 | (17) (64, 64) | (18) X | (19) (49612, 49612) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 2101.1
Output number: 1, Rank-25: (1) 81 | (2) 81 | (3)100/100 | (4) 62, 62 | (5) 162.054 | (6) 7.11775 | (7) 9.9439e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 93.8889/100 | (15) 0 | (17) (62, 62) | (18) X | (19) (49355, 49355) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 2030.03
Output number: 1, Rank-26: (1) 58 | (2) 58 | (3)100/100 | (4) 62, 62 | (5) 159.018 | (6) 8.59314 | (7) 0.000141451 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 92.7778/100 | (15) 0 | (17) (62, 62) | (18) X | (19) (47872, 47872) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 2054.93
