#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-static-8-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00338072 seconds
Distributing the actor graph took: 2.16986 seconds
Added actors in: 0.0755777 seconds.
Initialized connections of actors in: 0.0115476 seconds.
No Migration
Output number: 1, Rank-19: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 94.3034 | (6) 5.84125 | (7) 1.2579e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (27979, 27979) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 951.576
Output number: 1, Rank-22: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 93.426 | (6) 8.63776 | (7) 1.8182e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (27902, 27902) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 948.25
Output number: 1, Rank-25: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 94.6558 | (6) 4.6873 | (7) 1.1356e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (28015, 28015) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 967.056
Output number: 1, Rank-0: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 95.688 | (6) 3.97953 | (7) 2.2161e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (27992, 27992) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 986.776
Output number: 1, Rank-17: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 94.1347 | (6) 5.87549 | (7) 1.4156e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (27984, 27984) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 943.515
Output number: 1, Rank-9: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 93.2937 | (6) 4.87195 | (7) 4.541e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 54.4444/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (27686, 27686) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 962.842
Output number: 1, Rank-32: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 92.9207 | (6) 40.1053 | (7) 2.4474e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (28124, 28124) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 754.632
Output number: 1, Rank-208: (1) 0 | (2) 0 | (3)0/100 | (4) 24, 24 | (5) 97.9422 | (6) 38.444 | (7) 2.5014e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (29918, 29918) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 782.288
Output number: 1, Rank-62: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 93.5187 | (6) 40.0124 | (7) 1.8607e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (28574, 28574) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 749.426
Output number: 1, Rank-93: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 93.0807 | (6) 42.157 | (7) 1.5389e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (28255, 28255) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 755.263
Output number: 1, Rank-33: (1) 0 | (2) 0 | (3)0/100 | (4) 23, 23 | (5) 93.5312 | (6) 39.4412 | (7) 1.883e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (28247, 28247) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 759.222
