#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-global-busy-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000949284 seconds
Distributing the actor graph took: 42.2605 seconds
Added actors in: 1.75222 seconds.
Initialized connections of actors in: 0.0477442 seconds.
Async Migration only
Output number: 1, Rank-15: (1) 8 | (2) 58 | (3)13.7931/100 | (4) 163, 163 | (5) 176.421 | (6) 2.53554 | (7) 0.000146064 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.8889/100 | (15) 0 | (17) (163, 163) | (18) X | (19) (115229, 115229) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2508.9
Output number: 1, Rank-11: (1) 244 | (2) 1629 | (3)14.9785/100 | (4) 978, 978 | (5) 82.2328 | (6) 25.1187 | (7) 0.000257772 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 59.4444/100 | (15) 0 | (17) (978, 978) | (18) X | (19) (441365, 441365) | (20) 1 | (21) 1 | (22) 0 | (23) 41 | (24) 2544.99
Output number: 1, Rank-12: (1) 200 | (2) 1345 | (3)14.8699/100 | (4) 937, 937 | (5) 86.5307 | (6) 27.7569 | (7) 0.000209585 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 63.3333/100 | (15) 0 | (17) (937, 937) | (18) X | (19) (441447, 441447) | (20) 1 | (21) 0 | (22) 0 | (23) 237 | (24) 2738.57
Output number: 1, Rank-23: (1) 56 | (2) 348 | (3)16.092/100 | (4) 300, 300 | (5) 163.679 | (6) 5.64445 | (7) 0.000243405 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.008 | (14) 93.8889/100 | (15) 0 | (17) (300, 300) | (18) X | (19) (249015, 249015) | (20) 1 | (21) 1 | (22) 0 | (23) 33 | (24) 2523.79
Output number: 1, Rank-21: (1) 221 | (2) 1478 | (3)14.9526/100 | (4) 954, 954 | (5) 79.2278 | (6) 27.402 | (7) 0.000537795 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.008 | (14) 58.8889/100 | (15) 0 | (17) (954, 954) | (18) X | (19) (438135, 438135) | (20) 1 | (21) 1 | (22) 0 | (23) 35 | (24) 2547.07
Output number: 1, Rank-24: (1) 227 | (2) 1467 | (3)15.4738/100 | (4) 972, 972 | (5) 80.4136 | (6) 27.4215 | (7) 0.000235829 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.009 | (14) 59.4444/100 | (15) 0 | (17) (972, 972) | (18) X | (19) (441944, 441944) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 2479.03
Output number: 1, Rank-6: (1) 11 | (2) 82 | (3)13.4146/100 | (4) 298, 298 | (5) 175.816 | (6) 2.68273 | (7) 0.000221358 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.009 | (14) 98.8889/100 | (15) 0 | (17) (298, 298) | (18) X | (19) (208823, 208823) | (20) 1 | (21) 0 | (22) 0 | (23) 21 | (24) 2500.29
Output number: 1, Rank-9: (1) 6 | (2) 47 | (3)12.766/100 | (4) 169, 169 | (5) 176.464 | (6) 2.55301 | (7) 0.000423679 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.011 | (14) 99.4444/100 | (15) 0 | (17) (169, 169) | (18) X | (19) (126522, 126522) | (20) 1 | (21) 0 | (22) 0 | (23) 12 | (24) 2511.81
Output number: 1, Rank-3: (1) 216 | (2) 1658 | (3)13.0277/100 | (4) 949, 949 | (5) 70.9059 | (6) 27.3345 | (7) 0.000215011 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.012 | (14) 54.4444/100 | (15) 0 | (17) (949, 949) | (18) X | (19) (426131, 426131) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 2052.04
Output number: 1, Rank-27: (1) 252 | (2) 1583 | (3)15.9191/100 | (4) 983, 983 | (5) 77.4719 | (6) 26.2198 | (7) 0.000144206 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.013 | (14) 57.2222/100 | (15) 0 | (17) (983, 983) | (18) X | (19) (436687, 436687) | (20) 1 | (21) 0 | (22) 0 | (23) 33 | (24) 2585.41
Output number: 1, Rank-10: (1) 20 | (2) 80 | (3)25/100 | (4) 302, 302 | (5) 176.269 | (6) 2.66498 | (7) 0.000208107 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.013 | (14) 98.8889/100 | (15) 0 | (17) (302, 302) | (18) X | (19) (212567, 212567) | (20) 1 | (21) 0 | (22) 0 | (23) 21 | (24) 2508.95
Output number: 1, Rank-4: (1) 212 | (2) 1585 | (3)13.3754/100 | (4) 946, 946 | (5) 77.3307 | (6) 25.9194 | (7) 0.000249998 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.015 | (14) 57.2222/100 | (15) 0 | (17) (946, 946) | (18) X | (19) (435290, 435290) | (20) 1 | (21) 1 | (22) 0 | (23) 18 | (24) 2542.36
Output number: 1, Rank-17: (1) 241 | (2) 1649 | (3)14.6149/100 | (4) 980, 980 | (5) 70.9915 | (6) 30.1127 | (7) 0.000514946 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.014 | (14) 56.1111/100 | (15) 0 | (17) (980, 980) | (18) X | (19) (424223, 424223) | (20) 1 | (21) 0 | (22) 0 | (23) 52 | (24) 2419.69
Output number: 1, Rank-1: (1) 251 | (2) 1639 | (3)15.3142/100 | (4) 985, 985 | (5) 78.0613 | (6) 26.7729 | (7) 0.000542026 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.018 | (14) 57.7778/100 | (15) 0 | (17) (985, 985) | (18) X | (19) (436167, 436167) | (20) 1 | (21) 0 | (22) 0 | (23) 14 | (24) 2413.89
Output number: 1, Rank-25: (1) 9 | (2) 84 | (3)10.7143/100 | (4) 247, 247 | (5) 176.442 | (6) 2.5516 | (7) 6.654e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.019 | (14) 98.8889/100 | (15) 0 | (17) (247, 247) | (18) X | (19) (201274, 201274) | (20) 1 | (21) 0 | (22) 0 | (23) 15 | (24) 2517.59
Output number: 1, Rank-14: (1) 229 | (2) 1563 | (3)14.6513/100 | (4) 973, 973 | (5) 82.1056 | (6) 27.1913 | (7) 0.000307222 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.019 | (14) 60.5556/100 | (15) 0 | (17) (973, 973) | (18) X | (19) (437378, 437378) | (20) 1 | (21) 1 | (22) 0 | (23) 73 | (24) 2522.62
Output number: 1, Rank-26: (1) 235 | (2) 1569 | (3)14.9777/100 | (4) 980, 980 | (5) 75.4793 | (6) 26.1583 | (7) 0.000182182 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.028 | (14) 56.1111/100 | (15) 0 | (17) (980, 980) | (18) X | (19) (436991, 436991) | (20) 1 | (21) 0 | (22) 0 | (23) 63 | (24) 2615.61
