#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-static-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.247067 seconds
Distributing the actor graph took: 2.39004 seconds
Added actors in: 0.0507001 seconds.
Initialized connections of actors in: 0.0263649 seconds.
No Migration
Rank-9: (1) 0 | (2) 0 | (3)0/100 | (4) 5 | (5) 90.1233 | (6) 16.1959 | (7) 5.9307e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 89.0756/100| (15)0 | (16) 1
Rank-10: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 109.597 | (6) 5.06675 | (7) 0.000144859 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-11: (1) 0 | (2) 0 | (3)0/100 | (4) 5 | (5) 90.1759 | (6) 15.832 | (7) 0.00012136 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 89.0756/100| (15)0 | (16) 1
Rank-12: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 109.528 | (6) 4.99826 | (7) 0.00015756 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-13: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 107.845 | (6) 6.02491 | (7) 6.8391e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 94.958/100| (15)0 | (16) 1
Rank-14: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 107.517 | (6) 6.2072 | (7) 0.000107864 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 94.958/100| (15)0 | (16) 1
Rank-15: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 107.875 | (6) 5.84626 | (7) 9.1756e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 94.958/100| (15)0 | (16) 1
Rank-16: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 111.63 | (6) 3.89837 | (7) 4.9349e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 96.6387/100| (15)0 | (16) 1
Rank-17: (1) 0 | (2) 0 | (3)0/100 | (4) 5 | (5) 91.3006 | (6) 15.4539 | (7) 0.00011344 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 89.0756/100| (15)0 | (16) 1
Rank-18: (1) 0 | (2) 0 | (3)0/100 | (4) 5 | (5) 90.5919 | (6) 15.7556 | (7) 4.331e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 89.0756/100| (15)0 | (16) 1
Rank-19: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 107.944 | (6) 6.19174 | (7) 4.1057e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-20: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 109.675 | (6) 5.00677 | (7) 8.4405e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-21: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 109.274 | (6) 5.20184 | (7) 0.000132086 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-22: (1) 0 | (2) 0 | (3)0/100 | (4) 5 | (5) 89.8201 | (6) 16.3342 | (7) 9.8758e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 89.0756/100| (15)0 | (16) 1
Rank-23: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 107.913 | (6) 5.79171 | (7) 5.3057e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 94.958/100| (15)0 | (16) 1
Rank-24: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 109.022 | (6) 5.39677 | (7) 0.000163351 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-25: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 108.933 | (6) 5.29881 | (7) 0.000113081 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-26: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 109.305 | (6) 5.12127 | (7) 0.000133374 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-27: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 109.41 | (6) 5.0481 | (7) 6.3792e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-1: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 111.174 | (6) 4.35563 | (7) 7.6162e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 96.6387/100| (15)0 | (16) 1
Rank-2: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 107.957 | (6) 6.04501 | (7) 7.1733e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-3: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 108.085 | (6) 5.85465 | (7) 5.1146e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 94.958/100| (15)0 | (16) 1
Rank-4: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 108.893 | (6) 5.31416 | (7) 8.1917e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-5: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 108.911 | (6) 5.46959 | (7) 0.000128749 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-6: (1) 0 | (2) 0 | (3)0/100 | (4) 5 | (5) 90.3479 | (6) 15.9423 | (7) 0.000104091 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 89.0756/100| (15)0 | (16) 1
Rank-7: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 108.458 | (6) 5.6799 | (7) 0.000170473 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-8: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 108.386 | (6) 5.76224 | (7) 0.000150967 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Decomposition: (1) STOLE_COUNT |(2) STOLE_TRIES | (3) REJECTION | (4) ACTIVE_ACTORS | (5) TIME_ACT | (6) PROGRESS | (7) BARRIER |  (8) TIMEOUT_CHECK | (9) TERMINATION_CHECK_DUR | (10) FORCE_TERMINATION_DUR | (11) TERMINATION_CHECK_COUNT | (12) OUTSIDE |  (13) TOTAL | (14) PERCENTAGE | (15) FORCED
Rank-0: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 108.894 | (6) 5.24572 | (7) 0.000177979 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.005 | (14) 95.7983/100| (15)0 | (16) 1
Rank-72: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 108.856 | (6) 5.39158 | (7) 0.000154531 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.004 | (14) 95.7983/100| (15)0 | (16) 1
Rank-649: (1) 0 | (2) 0 | (3)0/100 | (4) 6 | (5) 107.956 | (6) 5.95898 | (7) 0.000139936 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.005 | (14) 94.958/100| (15)0 | (16) 1
Rank-727: (1) 0 | (2) 0 | (3)0/100 | (4) 5 | (5) 91.2388 | (6) 15.8354 | (7) 0.000102557 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.005 | (14) 89.916/100| (15)0 | (16) 1
