#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-offload-local-single-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0018569 seconds
Distributing the actor graph took: 42.3338 seconds
Added actors in: 0.462649 seconds.
Initialized connections of actors in: 0.0465604 seconds.
Output number: 1, Rank-0: (1) 0 | (2) 0 | (3)0/100 | (4) 184, 184 | (5) 2.84597 | (6) 61.8079 | (7) 0.000195273 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35.5556/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (73618, 73618) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.7437
Output number: 1, Rank-6: (1) 0 | (2) 0 | (3)0/100 | (4) 211, 211 | (5) 51.9356 | (6) 43.2431 | (7) 0.000248399 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 52.7778/100 | (15) 0 | (17) (211, 211) | (18) X | (19) (78568, 78568) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1944.56
Output number: 1, Rank-22: (1) 26 | (2) 26 | (3)100/100 | (4) 228, 228 | (5) 90.1215 | (6) 29.7364 | (7) 0.000137115 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.1111/100 | (15) 0 | (17) (228, 228) | (18) X | (19) (113270, 113270) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1707.54
Output number: 1, Rank-21: (1) 0 | (2) 0 | (3)0/100 | (4) 197, 197 | (5) 11.2665 | (6) 56.2913 | (7) 0.000112973 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (197, 197) | (18) X | (19) (87268, 87268) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 489.316
Output number: 1, Rank-23: (1) 131 | (2) 131 | (3)100/100 | (4) 51, 51 | (5) 102.694 | (6) 32.3026 | (7) 6.0362e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (51, 51) | (18) X | (19) (31546, 31546) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1682.33
Output number: 1, Rank-24: (1) 0 | (2) 0 | (3)0/100 | (4) 206, 206 | (5) 11.0425 | (6) 58.3758 | (7) 0.000149313 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.3333/100 | (15) 0 | (17) (206, 206) | (18) X | (19) (89718, 89718) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 492.153
Output number: 1, Rank-26: (1) 24 | (2) 24 | (3)100/100 | (4) 223, 223 | (5) 89.9774 | (6) 29.8717 | (7) 0.000122633 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.1111/100 | (15) 0 | (17) (223, 223) | (18) X | (19) (110728, 110728) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1720.26
Output number: 1, Rank-27: (1) 0 | (2) 0 | (3)0/100 | (4) 200, 200 | (5) 9.78446 | (6) 57.5605 | (7) 2.1495e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (200, 200) | (18) X | (19) (89287, 89287) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 432.562
Output number: 1, Rank-1: (1) 5 | (2) 5 | (3)100/100 | (4) 184, 184 | (5) 3.04466 | (6) 60.4359 | (7) 0.000124507 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (78292, 78292) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.5593
Output number: 1, Rank-7: (1) 3 | (2) 3 | (3)100/100 | (4) 185, 185 | (5) 3.04313 | (6) 60.8048 | (7) 9.0374e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (81351, 81351) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.4556
Output number: 1, Rank-8: (1) 0 | (2) 0 | (3)0/100 | (4) 189, 189 | (5) 3.1478 | (6) 61.1739 | (7) 0.000117418 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35.5556/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (82211, 82211) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.8451
Output number: 1, Rank-9: (1) 1 | (2) 1 | (3)100/100 | (4) 187, 187 | (5) 3.13925 | (6) 59.8645 | (7) 0.000165175 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (80696, 80696) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.6766
Output number: 1, Rank-10: (1) 19 | (2) 19 | (3)100/100 | (4) 181, 181 | (5) 3.06458 | (6) 60.9483 | (7) 0.000144991 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35.5556/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (80626, 80626) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.8486
Output number: 1, Rank-11: (1) 10 | (2) 10 | (3)100/100 | (4) 187, 187 | (5) 3.05678 | (6) 60.9041 | (7) 0.000113353 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (80666, 80666) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.4173
Output number: 1, Rank-12: (1) 20 | (2) 20 | (3)100/100 | (4) 176, 176 | (5) 3.02944 | (6) 60.4693 | (7) 0.000128191 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (176, 176) | (18) X | (19) (78474, 78474) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.2758
Output number: 1, Rank-13: (1) 5 | (2) 5 | (3)100/100 | (4) 185, 185 | (5) 2.95282 | (6) 60.0841 | (7) 8.8624e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (76771, 76771) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.6654
Output number: 1, Rank-14: (1) 6 | (2) 6 | (3)100/100 | (4) 184, 184 | (5) 2.97094 | (6) 60.7228 | (7) 0.00011616 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (78879, 78879) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 63.176
Output number: 1, Rank-15: (1) 4 | (2) 4 | (3)100/100 | (4) 186, 186 | (5) 3.02638 | (6) 59.9244 | (7) 5.4177e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 34.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (78976, 78976) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.1073
Output number: 1, Rank-18: (1) 0 | (2) 0 | (3)0/100 | (4) 188, 188 | (5) 3.00039 | (6) 60.5284 | (7) 9.406e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (79021, 79021) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.9891
Output number: 1, Rank-19: (1) 13 | (2) 13 | (3)100/100 | (4) 186, 186 | (5) 3.1686 | (6) 59.4095 | (7) 5.9009e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 34.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (82898, 82898) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.3985
Output number: 1, Rank-20: (1) 1 | (2) 1 | (3)100/100 | (4) 188, 188 | (5) 3.18012 | (6) 61.514 | (7) 0.00011099 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35.5556/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (84974, 84974) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.2599
Output number: 1, Rank-16: (1) 0 | (2) 0 | (3)0/100 | (4) 186, 186 | (5) 2.87608 | (6) 60.4118 | (7) 0.000146371 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (75939, 75939) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.907
Output number: 1, Rank-17: (1) 0 | (2) 0 | (3)0/100 | (4) 185, 185 | (5) 3.13567 | (6) 60.6246 | (7) 7.7875e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (80883, 80883) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.2931
Output number: 1, Rank-25: (1) 0 | (2) 0 | (3)0/100 | (4) 198, 198 | (5) 9.49359 | (6) 57.0168 | (7) 1.5608e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (198, 198) | (18) X | (19) (86008, 86008) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 426.466
Output number: 1, Rank-2: (1) 0 | (2) 0 | (3)0/100 | (4) 185, 185 | (5) 2.87459 | (6) 61.3818 | (7) 9.5002e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 35.5556/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (75800, 75800) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.9387
