#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-random-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0144422 seconds
Distributing the actor graph took: 42.6645 seconds
Added actors in: 0.133793 seconds.
Initialized connections of actors in: 0.0478189 seconds.
Async Migration only
Output number: 1, Rank-2: (1) 0 | (2) 1653 | (3)0/100 | (4) 31, 31 | (5) 2.57987 | (6) 83.5537 | (7) 0.000281597 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (71938, 71938) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.9132 | (25) (0.39517, 138-33) | (26) 32913
Output number: 1, Rank-4: (1) 0 | (2) 1679 | (3)0/100 | (4) 30, 30 | (5) 2.65927 | (6) 86.6875 | (7) 0.000257007 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 49.4444/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (70662, 70662) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.4914 | (25) (0.40129, 133-36) | (26) 34182
Output number: 1, Rank-5: (1) 0 | (2) 1678 | (3)0/100 | (4) 30, 30 | (5) 2.62289 | (6) 85.4034 | (7) 0.000219364 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (30, 30) | (18) X | (19) (70520, 70520) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.3792 | (25) (0.54465, 133-23) | (26) 31231
Output number: 1, Rank-6: (1) 11 | (2) 1673 | (3)0.657501/100 | (4) 42, 42 | (5) 2.82114 | (6) 82.2096 | (7) 0.0002853 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.2222/100 | (15) 0 | (17) (42, 42) | (18) X | (19) (78460, 78460) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 14.6618 | (25) (0.42617, 127-21) | (26) 16312
Output number: 1, Rank-10: (1) 0 | (2) 1680 | (3)0/100 | (4) 31, 31 | (5) 2.62812 | (6) 84.4325 | (7) 0.00021676 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (71450, 71450) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.3632 | (25) (0.512, 120-29) | (26) 34079
Output number: 1, Rank-11: (1) 0 | (2) 1674 | (3)0/100 | (4) 29, 29 | (5) 2.4705 | (6) 85.3937 | (7) 0.000214414 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (66680, 66680) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.5195 | (25) (0.46103, 120-36) | (26) 36423
Output number: 1, Rank-12: (1) 0 | (2) 1683 | (3)0/100 | (4) 31, 31 | (5) 2.62072 | (6) 85.4891 | (7) 0.000268145 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (71220, 71220) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.7305 | (25) (0.41534, 116-35) | (26) 34849
Output number: 1, Rank-13: (1) 0 | (2) 1680 | (3)0/100 | (4) 31, 31 | (5) 2.66564 | (6) 84.3096 | (7) 0.000205951 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (71081, 71081) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.6609 | (25) (0.43844, 108-31) | (26) 35459
Output number: 1, Rank-14: (1) 0 | (2) 1678 | (3)0/100 | (4) 31, 31 | (5) 2.60151 | (6) 84.1811 | (7) 0.000235615 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 47.7778/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (70954, 70954) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1545 | (25) (0.43796, 108-35) | (26) 37250
Output number: 1, Rank-15: (1) 1 | (2) 1683 | (3)0.0594177/100 | (4) 31, 31 | (5) 2.74933 | (6) 84.2805 | (7) 0.000237012 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (72513, 72513) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.8377 | (25) (0.43554, 116-20) | (26) 29985
Output number: 1, Rank-16: (1) 1 | (2) 1671 | (3)0.0598444/100 | (4) 31, 31 | (5) 2.58846 | (6) 84.4609 | (7) 0.000235874 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.3333/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (70627, 70627) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.0938 | (25) (0.47403, 120-22) | (26) 32662
