#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-contig/pond-local-busy-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00255368 seconds
Distributing the actor graph took: 39.8452 seconds
Added actors in: 0.466686 seconds.
Initialized connections of actors in: 0.0461246 seconds.
Async Migration only
Output number: 1, Rank-10: (1) 0 | (2) 72 | (3)0/100 | (4) 185, 185 | (5) 4.95223 | (6) 69.0572 | (7) 0.000120799 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (132856, 132856) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 65.424 | (25) (0.48165, 63-7) | (26) 61 | (27) -0.63264
Output number: 1, Rank-11: (1) 0 | (2) 45 | (3)0/100 | (4) 186, 186 | (5) 4.95771 | (6) 66.9844 | (7) 8.1685e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (132081, 132081) | (20) 1 | (21) 0 | (22) 0 | (23) 5 | (24) 65.2261 | (25) (0.42151, 83-7) | (26) 1 | (27) 1.39232
Output number: 1, Rank-12: (1) 0 | (2) 73 | (3)0/100 | (4) 188, 188 | (5) 4.91974 | (6) 66.8724 | (7) 0.000111371 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (131386, 131386) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.5466 | (25) (0.42543, 68-18) | (26) 53 | (27) -0.62226
Output number: 1, Rank-14: (1) 0 | (2) 160 | (3)0/100 | (4) 180, 180 | (5) 4.74468 | (6) 69.0887 | (7) 0.00013585 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 40.5556/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (125910, 125910) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.6409 | (25) (0.43, 140-56) | (26) 76898 | (27) -0.32246
Output number: 1, Rank-15: (1) 0 | (2) 130 | (3)0/100 | (4) 190, 190 | (5) 4.98481 | (6) 64.4202 | (7) 0.000101804 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.3333/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (130507, 130507) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 68.705 | (25) (0.58608, 116-66) | (26) 74488 | (27) -0.75646
Output number: 1, Rank-17: (1) 0 | (2) 476 | (3)0/100 | (4) 184, 184 | (5) 4.9453 | (6) 65.1577 | (7) 2.5591e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (129488, 129488) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.5459 | (25) (0.45401, 113-33) | (26) 56654 | (27) -0.37529
Output number: 1, Rank-20: (1) 0 | (2) 32 | (3)0/100 | (4) 188, 188 | (5) 4.97858 | (6) 66.2032 | (7) 0.000118086 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (134988, 134988) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.8062 | (25) (0.4222, 129-38) | (26) 57457 | (27) -0.67954
Output number: 1, Rank-25: (1) 15 | (2) 1744 | (3)0.860092/100 | (4) 200, 200 | (5) 5.25842 | (6) 63.6631 | (7) 0.000100864 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.7778/100 | (15) 0 | (17) (200, 200) | (18) X | (19) (138271, 138271) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 71.7582 | (25) (0.46163, 120-24) | (26) 43466 | (27) -0.6695
Output number: 1, Rank-1: (1) 0 | (2) 200 | (3)0/100 | (4) 189, 189 | (5) 4.96994 | (6) 65.2542 | (7) 0.000126844 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 38.8889/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (130545, 130545) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.4451 | (25) (0.44519, 88-37) | (26) 64844 | (27) -1.2609
Output number: 1, Rank-2: (1) 2 | (2) 1749 | (3)0.114351/100 | (4) 186, 186 | (5) 4.73563 | (6) 66.3232 | (7) 0.000132285 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 39.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (125857, 125857) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.6589 | (25) (0.49963, 103-45) | (26) 74802 | (27) -0.3666
