#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-random-2-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00108694 seconds
Distributing the actor graph took: 2.07162 seconds
Added actors in: 0.28756 seconds.
Initialized connections of actors in: 0.0118244 seconds.
Async Migration only
Output number: 1, Rank-1: (1) 8 | (2) 959 | (3)0.834202/100 | (4) 94, 94 | (5) 178.108 | (6) 0.787864 | (7) 6.5022e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.8889/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (53623, 53623) | (20) 1 | (21) 1 | (22) 0 | (23) 16 | (24) 3121.65 | (25) (33.6337, 12-9) | (26) 1
Output number: 1, Rank-6: (1) 2 | (2) 623 | (3)0.321027/100 | (4) 90, 90 | (5) 179.449 | (6) 0.322323 | (7) 0.000118063 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 99.4444/100 | (15) 0 | (17) (90, 90) | (18) X | (19) (52406, 52406) | (20) 1 | (21) 0 | (22) 0 | (23) 21 | (24) 3068.92 | (25) (35.0214, 16-31) | (26) 1
Output number: 1, Rank-8: (1) 0 | (2) 608 | (3)0/100 | (4) 94, 94 | (5) 177.782 | (6) 0.898841 | (7) 8.6113e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.8889/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (53976, 53976) | (20) 1 | (21) 1 | (22) 0 | (23) 2 | (24) 3087.63 | (25) (33.3729, 36-4) | (26) 1
Output number: 1, Rank-9: (1) 1 | (2) 536 | (3)0.186567/100 | (4) 95, 95 | (5) 179.564 | (6) 0.207897 | (7) 4.7858e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (95, 95) | (18) X | (19) (53962, 53962) | (20) 1 | (21) 1 | (22) 0 | (23) 78 | (24) 3134.54 | (25) (33.5576, 28-8) | (26) 1
Output number: 1, Rank-10: (1) 2 | (2) 674 | (3)0.296736/100 | (4) 92, 92 | (5) 179.432 | (6) 0.287743 | (7) 6.2895e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 99.4444/100 | (15) 0 | (17) (92, 92) | (18) X | (19) (53926, 53926) | (20) 1 | (21) 0 | (22) 0 | (23) 11 | (24) 3056.78 | (25) (33.8869, 29-23) | (26) 1
Output number: 1, Rank-12: (1) 6 | (2) 829 | (3)0.723764/100 | (4) 93, 93 | (5) 178.3 | (6) 0.751752 | (7) 1.7991e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 99.4444/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (54217, 54217) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 3052.96 | (25) (33.3624, 25-18) | (26) 1
Output number: 1, Rank-13: (1) 3 | (2) 708 | (3)0.423729/100 | (4) 93, 93 | (5) 179.431 | (6) 0.324256 | (7) 9.4674e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 99.4444/100 | (15) 0 | (17) (93, 93) | (18) X | (19) (54045, 54045) | (20) 1 | (21) 1 | (22) 0 | (23) 11 | (24) 3075.04 | (25) (33.9245, 17-31) | (26) 1
Output number: 1, Rank-14: (1) 4 | (2) 681 | (3)0.587372/100 | (4) 94, 94 | (5) 179.357 | (6) 0.322625 | (7) 1.1853e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 99.4444/100 | (15) 0 | (17) (94, 94) | (18) X | (19) (54177, 54177) | (20) 1 | (21) 1 | (22) 0 | (23) 24 | (24) 3105.89 | (25) (33.7566, 58-29) | (26) 1
Output number: 1, Rank-15: (1) 4 | (2) 578 | (3)0.692042/100 | (4) 90, 90 | (5) 179.524 | (6) 0.237802 | (7) 4.0242e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 99.4444/100 | (15) 0 | (17) (90, 90) | (18) X | (19) (53686, 53686) | (20) 1 | (21) 1 | (22) 0 | (23) 11 | (24) 3013.39 | (25) (45.0986, 68-33) | (26) 1
Output number: 1, Rank-16: (1) 4 | (2) 1047 | (3)0.382044/100 | (4) 87, 87 | (5) 175.839 | (6) 1.76246 | (7) 7.9263e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 98.3333/100 | (15) 0 | (17) (87, 87) | (18) X | (19) (52345, 52345) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 2896.17 | (25) (33.8866, 71-34) | (26) 1
