#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0186967 seconds
Distributing the actor graph took: 2.41308 seconds
Added actors in: 0.0653138 seconds.
Initialized connections of actors in: 0.0115548 seconds.
Async Migration only
Output number: 1, Rank-599: (1) 0 | (2) 1715 | (3)0/100 | (4) 6, 6 | (5) 92.0661 | (6) 41.153 | (7) 4.4909e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27691, 27691) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.718
Output number: 1, Rank-105: (1) 0 | (2) 1576 | (3)0/100 | (4) 6, 6 | (5) 93.0413 | (6) 6.83177 | (7) 8.3625e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27590, 27590) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 242.418
Output number: 1, Rank-140: (1) 0 | (2) 1718 | (3)0/100 | (4) 6, 6 | (5) 91.3101 | (6) 40.9315 | (7) 0.000143878 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27621, 27621) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.223
Output number: 1, Rank-339: (1) 0 | (2) 1728 | (3)0/100 | (4) 5, 5 | (5) 75.9101 | (6) 50.3191 | (7) 9.2405e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (23007, 23007) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.775
Output number: 1, Rank-41: (1) 0 | (2) 1602 | (3)0/100 | (4) 6, 6 | (5) 92.6668 | (6) 7.54755 | (7) 5.3209e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27506, 27506) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 240.932
Output number: 1, Rank-432: (1) 0 | (2) 1712 | (3)0/100 | (4) 6, 6 | (5) 91.1299 | (6) 41.1493 | (7) 8.1048e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27517, 27517) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.902
Output number: 1, Rank-62: (1) 0 | (2) 1630 | (3)0/100 | (4) 5, 5 | (5) 81.5392 | (6) 16.5896 | (7) 0.000113841 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (23002, 23002) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 217.713
Output number: 1, Rank-131: (1) 0 | (2) 1701 | (3)0/100 | (4) 6, 6 | (5) 90.6328 | (6) 42.3924 | (7) 0.000124208 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27529, 27529) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.775
Output number: 1, Rank-484: (1) 0 | (2) 1733 | (3)0/100 | (4) 5, 5 | (5) 76.6486 | (6) 50.2686 | (7) 0.000146223 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (23026, 23026) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 165.824
Output number: 1, Rank-809: (1) 0 | (2) 1716 | (3)0/100 | (4) 6, 6 | (5) 92.009 | (6) 45.5456 | (7) 0.000110874 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27725, 27725) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.416
