#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-offload-local-single-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00163409 seconds
Distributing the actor graph took: 2.15139 seconds
Added actors in: 0.121135 seconds.
Initialized connections of actors in: 0.0114321 seconds.
Output number: 1, Rank-8: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 171.574 | (6) 3.25852 | (7) 5.9542e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (48693, 48693) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1583.56
Output number: 1, Rank-14: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 170.738 | (6) 3.62326 | (7) 3.9434e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (49810, 49810) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1539.69
Output number: 1, Rank-24: (1) 15 | (2) 15 | (3)100/100 | (4) 37, 37 | (5) 144.061 | (6) 15.3607 | (7) 0.000120205 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 88.3333/100 | (15) 0 | (17) (37, 37) | (18) X | (19) (42298, 42298) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1214.05
Output number: 1, Rank-25: (1) 0 | (2) 0 | (3)0/100 | (4) 48, 48 | (5) 174.047 | (6) 2.1237 | (7) 4.9882e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.7778/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (52734, 52734) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1579.99
Output number: 1, Rank-26: (1) 0 | (2) 0 | (3)0/100 | (4) 48, 48 | (5) 165.17 | (6) 5.82845 | (7) 5.442e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (50372, 50372) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1573.63
Output number: 1, Rank-17: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 170.825 | (6) 3.48634 | (7) 0.000132551 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.6667/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (51831, 51831) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1547.52
Output number: 1, Rank-104: (1) 29 | (2) 29 | (3)100/100 | (4) 38, 38 | (5) 152.021 | (6) 11.8684 | (7) 5.2409e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 90.5556/100 | (15) 0 | (17) (38, 38) | (18) X | (19) (44631, 44631) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1263.11
Output number: 1, Rank-49: (1) 1 | (2) 1 | (3)100/100 | (4) 46, 46 | (5) 165.393 | (6) 5.51495 | (7) 2.4284e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 94.4444/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (50360, 50360) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1510.65
Output number: 1, Rank-76: (1) 7 | (2) 7 | (3)100/100 | (4) 43, 43 | (5) 158.212 | (6) 8.95887 | (7) 6.382e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 92.7778/100 | (15) 0 | (17) (43, 43) | (18) X | (19) (47579, 47579) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1421.46
Output number: 1, Rank-84: (1) 4 | (2) 4 | (3)100/100 | (4) 46, 46 | (5) 170.158 | (6) 3.64471 | (7) 0.000113698 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.1111/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (51175, 51175) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1526.85
Output number: 1, Rank-72: (1) 1 | (2) 1 | (3)100/100 | (4) 46, 46 | (5) 173.015 | (6) 2.52069 | (7) 0.000111892 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.2222/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (51141, 51141) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 1554.01
Output number: 1, Rank-93: (1) 2 | (2) 2 | (3)100/100 | (4) 45, 45 | (5) 174.554 | (6) 1.94096 | (7) 3.1012e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.7778/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (52986, 52986) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1478.71
Output number: 1, Rank-35: (1) 2 | (2) 2 | (3)100/100 | (4) 45, 45 | (5) 170.896 | (6) 3.29844 | (7) 8.7819e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (51922, 51922) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 1478.44
Output number: 1, Rank-77: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 174.31 | (6) 1.99947 | (7) 1.4717e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (53038, 53038) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 1543.2
Output number: 1, Rank-97: (1) 3 | (2) 3 | (3)100/100 | (4) 45, 45 | (5) 170.423 | (6) 3.55701 | (7) 0.000111455 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.1111/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (51215, 51215) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1496.72
Output number: 1, Rank-1: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 172.405 | (6) 2.87296 | (7) 6.5877e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 97.2222/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (49104, 49104) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 1575.99
Output number: 1, Rank-0: (1) 3 | (2) 3 | (3)100/100 | (4) 45, 45 | (5) 167.395 | (6) 4.98753 | (7) 0.000135942 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 95.5556/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (48503, 48503) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 1553.02
Output number: 1, Rank-27: (1) 3 | (2) 3 | (3)100/100 | (4) 44, 44 | (5) 171.472 | (6) 3.31908 | (7) 2.7843e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.6667/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (48515, 48515) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1552.51
Output number: 1, Rank-105: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 173.047 | (6) 2.33252 | (7) 0.000103014 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.2222/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (52579, 52579) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1547.58
