#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-global-busy-24-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0149642 seconds
Distributing the actor graph took: 2.40075 seconds
Added actors in: 0.0482709 seconds.
Initialized connections of actors in: 0.0118239 seconds.
Async Migration only
Rank-1: (1) 0 | (2) 1671 | (3)0/100 | (4) 8 | (5) 143.4 | (6) 14.6979 | (7) 0.000137852 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 90.8046/100| (15)0 | (16) 1
Rank-2: (1) 0 | (2) 1666 | (3)0/100 | (4) 8 | (5) 145.569 | (6) 13.8552 | (7) 0.00016081 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 91.3793/100| (15)0 | (16) 1
Rank-3: (1) 0 | (2) 1678 | (3)0/100 | (4) 8 | (5) 144.365 | (6) 14.5204 | (7) 7.5495e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 90.8046/100| (15)0 | (16) 1
Rank-4: (1) 0 | (2) 1676 | (3)0/100 | (4) 7 | (5) 135.35 | (6) 19.363 | (7) 0.000169502 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 88.5057/100| (15)0 | (16) 1
Rank-5: (1) 0 | (2) 1662 | (3)0/100 | (4) 6 | (5) 132.508 | (6) 20.2099 | (7) 0.000175576 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 87.3563/100| (15)0 | (16) 1
Rank-6: (1) 1 | (2) 1607 | (3)0.0622278/100 | (4) 9 | (5) 158.439 | (6) 7.77467 | (7) 0.000147753 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 95.4023/100| (15)0 | (16) 1
Rank-7: (1) 2 | (2) 1645 | (3)0.121581/100 | (4) 9 | (5) 147.398 | (6) 12.808 | (7) 0.000124482 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 91.954/100| (15)0 | (16) 1
Rank-8: (1) 0 | (2) 1661 | (3)0/100 | (4) 8 | (5) 145.115 | (6) 14.299 | (7) 6.4094e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 91.3793/100| (15)0 | (16) 1
Rank-9: (1) 0 | (2) 1680 | (3)0/100 | (4) 7 | (5) 127.352 | (6) 22.9374 | (7) 6.8465e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 86.2069/100| (15)0 | (16) 1
Rank-10: (1) 0 | (2) 1665 | (3)0/100 | (4) 8 | (5) 145.488 | (6) 13.8822 | (7) 0.000117177 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 91.3793/100| (15)0 | (16) 1
Rank-11: (1) 0 | (2) 1656 | (3)0/100 | (4) 8 | (5) 144.441 | (6) 14.3815 | (7) 0.000131361 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 174.403 | (14) 90.8046/100| (15)0 | (16) 1
