#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-local-busy-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0213087 seconds
Distributing the actor graph took: 2.38139 seconds
Added actors in: 0.049765 seconds.
Initialized connections of actors in: 0.0124569 seconds.
Async Migration only
Rank-1: (1) 0 | (2) 1216 | (3)0/100 | (4) 6 | (5) 109.003 | (6) 9.24858 | (7) 0.000589015 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 92.9134/100| (15)0 | (16) 1
Rank-2: (1) 0 | (2) 1219 | (3)0/100 | (4) 6 | (5) 107.73 | (6) 9.68055 | (7) 0.000580336 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 92.126/100| (15)0 | (16) 1
Rank-3: (1) 0 | (2) 1212 | (3)0/100 | (4) 6 | (5) 108.321 | (6) 9.27782 | (7) 0.000511519 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 92.126/100| (15)0 | (16) 1
Rank-4: (1) 0 | (2) 1207 | (3)0/100 | (4) 6 | (5) 107.725 | (6) 9.56941 | (7) 0.000533012 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 92.126/100| (15)0 | (16) 1
Rank-5: (1) 0 | (2) 1219 | (3)0/100 | (4) 6 | (5) 109.018 | (6) 8.59721 | (7) 0.000596644 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 92.126/100| (15)0 | (16) 1
Rank-6: (1) 0 | (2) 1230 | (3)0/100 | (4) 5 | (5) 89.9353 | (6) 19.2306 | (7) 0.000560704 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 85.8268/100| (15)0 | (16) 1
Rank-7: (1) 0 | (2) 1208 | (3)0/100 | (4) 6 | (5) 108.876 | (6) 9.03517 | (7) 0.000551 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 92.126/100| (15)0 | (16) 1
Rank-8: (1) 0 | (2) 1143 | (3)0/100 | (4) 5 | (5) 94.7722 | (6) 16.7178 | (7) 0.000520618 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 87.4016/100| (15)0 | (16) 1
Rank-9: (1) 1 | (2) 1225 | (3)0.0816327/100 | (4) 6 | (5) 106.444 | (6) 10.4648 | (7) 0.000502888 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 91.3386/100| (15)0 | (16) 1
Rank-10: (1) 0 | (2) 1207 | (3)0/100 | (4) 6 | (5) 108.68 | (6) 9.30726 | (7) 0.000539425 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 92.126/100| (15)0 | (16) 1
Rank-11: (1) 0 | (2) 1230 | (3)0/100 | (4) 5 | (5) 91.3234 | (6) 17.7891 | (7) 0.000514912 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 127.421 | (14) 85.8268/100| (15)0 | (16) 1
