#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-global-random-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0146141 seconds
Distributing the actor graph took: 39.382 seconds
Added actors in: 0.130934 seconds.
Initialized connections of actors in: 0.0499742 seconds.
Async Migration only
Output number: 1, Rank-2: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 1.95173 | (6) 77.6684 | (7) 0.000245825 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (53803, 53803) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.7984
Output number: 1, Rank-3: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 1.993 | (6) 77.9817 | (7) 0.000165806 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (53679, 53679) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1951
Output number: 1, Rank-4: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 2.0267 | (6) 78.9229 | (7) 0.000212177 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 44.4444/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (53558, 53558) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.5893
Output number: 1, Rank-5: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 2.00634 | (6) 77.6907 | (7) 0.00016586 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (53674, 53674) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.3703
Output number: 1, Rank-6: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 1.99567 | (6) 78.0525 | (7) 0.000173422 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 44.4444/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (53829, 53829) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1243
Output number: 1, Rank-7: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 1.98824 | (6) 77.1902 | (7) 0.000124896 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (53860, 53860) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.9967
Output number: 1, Rank-8: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 1.94036 | (6) 78.1069 | (7) 0.00016128 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 44.4444/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (53981, 53981) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.6946
Output number: 1, Rank-9: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 2.01633 | (6) 77.5365 | (7) 0.000178711 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (54091, 54091) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.208
Output number: 1, Rank-10: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 1.98188 | (6) 78.6561 | (7) 0.000243416 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 44.4444/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (53315, 53315) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.5658
Output number: 1, Rank-11: (1) 0 | (2) 1749 | (3)0/100 | (4) 29, 29 | (5) 1.84874 | (6) 79.0814 | (7) 0.000183071 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 44.4444/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (49715, 49715) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 10.2564
Output number: 1, Rank-12: (1) 0 | (2) 1750 | (3)0/100 | (4) 31, 31 | (5) 1.9587 | (6) 78.4963 | (7) 0.000179689 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 44.4444/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (53085, 53085) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1264
