#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-busy-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00264646 seconds
Distributing the actor graph took: 2.13439 seconds
Added actors in: 0.11872 seconds.
Initialized connections of actors in: 0.0111491 seconds.
Async Migration only
Output number: 1, Rank-15: (1) 3 | (2) 35 | (3)8.57143/100 | (4) 47, 47 | (5) 175.022 | (6) 2.05877 | (7) 0.000144968 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.3333/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (53194, 53194) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1545.16 | (25) (33.2314, 61-66) | (26) 37930 | (27) -0.5466
Output number: 1, Rank-9: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 173.026 | (6) 2.82376 | (7) 6.6087e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.2222/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (52235, 52235) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1555.24 | (25) (33.685, 34-66) | (26) 1 | (27) 99.2217
Output number: 1, Rank-20: (1) 0 | (2) 6 | (3)0/100 | (4) 46, 46 | (5) 173.588 | (6) 2.61252 | (7) 0.000123049 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.7778/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (52422, 52422) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1524.9 | (25) (33.4119, 66-59) | (26) 1 | (27) 98.4998
Output number: 1, Rank-53: (1) 2 | (2) 5 | (3)40/100 | (4) 48, 48 | (5) 172.978 | (6) 2.87038 | (7) 9.543e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.2222/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (52503, 52503) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 1578.87 | (25) (33.4272, 26-56) | (26) 3 | (27) 195.973
Output number: 1, Rank-101: (1) 5 | (2) 27 | (3)18.5185/100 | (4) 45, 45 | (5) 169.119 | (6) 4.55144 | (7) 8.0611e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.1111/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (51802, 51802) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1466.23 | (25) (33.1822, 36-20) | (26) 27 | (27) 63.8967
Output number: 1, Rank-27: (1) 3 | (2) 593 | (3)0.505902/100 | (4) 45, 45 | (5) 168.388 | (6) 4.88259 | (7) 9.6519e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.1111/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (51089, 51089) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1476.43 | (25) (33.2267, 54-55) | (26) 1 | (27) 97.5679
Output number: 1, Rank-4: (1) 0 | (2) 2 | (3)0/100 | (4) 47, 47 | (5) 174.144 | (6) 2.39914 | (7) 5.3042e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (52801, 52801) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1556.2 | (25) (33.7317, 39-44) | (26) 1 | (27) 66.2124
Output number: 1, Rank-45: (1) 0 | (2) 9 | (3)0/100 | (4) 46, 46 | (5) 170.586 | (6) 3.74803 | (7) 3.9757e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.6667/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (51646, 51646) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1514.94 | (25) (33.3927, 0-66) | (26) 5088 | (27) -1.26673
Output number: 1, Rank-79: (1) 0 | (2) 1 | (3)0/100 | (4) 47, 47 | (5) 172.821 | (6) 3.05936 | (7) 0.000103336 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.2222/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (52430, 52430) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1544.97 | (25) (33.5129, 48-3) | (26) 1 | (27) 31.3269
Output number: 1, Rank-22: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 177.905 | (6) 0.770324 | (7) 0.000108665 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.8889/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (53648, 53648) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 1561.36 | (25) (33.9425, 67-44) | (26) 1 | (27) 198.847
Output number: 1, Rank-10: (1) 0 | (2) 3 | (3)0/100 | (4) 47, 47 | (5) 171.701 | (6) 3.43343 | (7) 0.000102711 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.2222/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (52142, 52142) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1546.5 | (25) (33.445, 35-62) | (26) 1 | (27) -0.61545
