#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-static-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00179193 seconds
Distributing the actor graph took: 2.2406 seconds
Added actors in: 0.117444 seconds.
Initialized connections of actors in: 0.0112707 seconds.
No Migration
Output number: 1, Rank-5: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 100.465 | (6) 0.233388 | (7) 1.5092e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 55.5556/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (29714, 29714) | (20) 1 | (21) 0 | (22) 0 | (23) 34 | (24) 1921.17
Output number: 1, Rank-6: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 99.1794 | (6) 1.6132 | (7) 1.8668e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55.5556/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (29337, 29337) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1924.22
Output number: 1, Rank-14: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 97.7635 | (6) 1.76258 | (7) 1.769e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (28820, 28820) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1873.01
Output number: 1, Rank-15: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 100.354 | (6) 0.902821 | (7) 1.6918e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 56.1111/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (29811, 29811) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1918.18
Output number: 1, Rank-17: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 99.4184 | (6) 37.0708 | (7) 1.4048e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 75.5556/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (29906, 29906) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1555.38
Output number: 1, Rank-23: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 96.4173 | (6) 38.1439 | (7) 1.1359e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 74.4444/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (29321, 29321) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 1471.77
Output number: 1, Rank-25: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 99.1594 | (6) 36.7509 | (7) 1.6491e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 75/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30235, 30235) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1536.39
Output number: 1, Rank-1: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 97.423 | (6) 1.9441 | (7) 1.364e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (28464, 28464) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1866.82
Output number: 1, Rank-98: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 99.8143 | (6) 37.5963 | (7) 1.4753e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (29998, 29998) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1555.87
Output number: 1, Rank-56: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 104.001 | (6) 37.0546 | (7) 1.6959e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.3333/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31369, 31369) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1550.44
