#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-offload-local-single-32-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.264926 seconds
Distributing the actor graph took: 42.225 seconds
Added actors in: 0.132171 seconds.
Initialized connections of actors in: 0.0514632 seconds.
Output number: 1, Rank-11: (1) 3 | (2) 3 | (3)100/100 | (4) 24, 24 | (5) 1.94706 | (6) 72.4958 | (7) 0.000304018 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (53212, 53212) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.79585
Output number: 1, Rank-12: (1) 6 | (2) 6 | (3)100/100 | (4) 23, 23 | (5) 1.88029 | (6) 73.4191 | (7) 0.000209061 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (51915, 51915) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.27973
Output number: 1, Rank-14: (1) 7 | (2) 7 | (3)100/100 | (4) 23, 23 | (5) 1.84865 | (6) 72.5116 | (7) 0.000304884 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52068, 52068) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.38863
Output number: 1, Rank-15: (1) 9 | (2) 9 | (3)100/100 | (4) 23, 23 | (5) 1.89394 | (6) 72.962 | (7) 0.000246937 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52755, 52755) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.47843
Output number: 1, Rank-16: (1) 1 | (2) 1 | (3)100/100 | (4) 24, 24 | (5) 1.89321 | (6) 73.7337 | (7) 0.000230798 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (54188, 54188) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.74465
Output number: 1, Rank-18: (1) 4 | (2) 4 | (3)100/100 | (4) 23, 23 | (5) 1.89326 | (6) 75.4645 | (7) 0.000266206 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 42.7778/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52053, 52053) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.1411
Output number: 1, Rank-19: (1) 4 | (2) 4 | (3)100/100 | (4) 24, 24 | (5) 1.88833 | (6) 73.1115 | (7) 0.000270898 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (53746, 53746) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.61237
Output number: 1, Rank-20: (1) 1 | (2) 1 | (3)100/100 | (4) 24, 24 | (5) 1.88441 | (6) 73.1409 | (7) 0.000209177 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (53221, 53221) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.64326
Output number: 1, Rank-21: (1) 4 | (2) 4 | (3)100/100 | (4) 23, 23 | (5) 1.81986 | (6) 73.316 | (7) 0.000186139 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (51662, 51662) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 7.9235
Output number: 1, Rank-22: (1) 7 | (2) 7 | (3)100/100 | (4) 25, 25 | (5) 1.85446 | (6) 72.6225 | (7) 0.000242412 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (53488, 53488) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.63016
Output number: 1, Rank-23: (1) 2 | (2) 2 | (3)100/100 | (4) 25, 25 | (5) 1.88297 | (6) 74.03 | (7) 0.000235524 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (25, 25) | (18) X | (19) (53326, 53326) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.67046
Output number: 1, Rank-24: (1) 11 | (2) 11 | (3)100/100 | (4) 23, 23 | (5) 1.84695 | (6) 73.059 | (7) 0.000207262 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52869, 52869) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.20203
Output number: 1, Rank-25: (1) 2 | (2) 2 | (3)100/100 | (4) 24, 24 | (5) 1.84669 | (6) 73.2081 | (7) 0.000126861 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (54124, 54124) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.15241
Output number: 1, Rank-26: (1) 9 | (2) 9 | (3)100/100 | (4) 24, 24 | (5) 1.90106 | (6) 73.5585 | (7) 0.000268667 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 41.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (54759, 54759) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 8.58984
