#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-static-1-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000876227 seconds
Distributing the actor graph took: 2.11512 seconds
Added actors in: 0.446142 seconds.
Initialized connections of actors in: 0.0118475 seconds.
No Migration
Output number: 1, Rank-12: (1) 0 | (2) 0 | (3)0/100 | (4) 186, 186 | (5) 172.89 | (6) 3.10363 | (7) 9.833e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.2222/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (52485, 52485) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6113.33
Output number: 1, Rank-19: (1) 0 | (2) 0 | (3)0/100 | (4) 180, 180 | (5) 178.138 | (6) 0.773105 | (7) 1.9128e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.8889/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (52728, 52728) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 6070.31
Output number: 1, Rank-26: (1) 0 | (2) 0 | (3)0/100 | (4) 187, 187 | (5) 175.919 | (6) 1.59522 | (7) 0.000118229 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 98.3333/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (53368, 53368) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 6155.11
Output number: 1, Rank-3: (1) 0 | (2) 0 | (3)0/100 | (4) 180, 180 | (5) 171.294 | (6) 3.38612 | (7) 1.7682e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.006 | (14) 96.6667/100 | (15) 0 | (17) (180, 180) | (18) X | (19) (52114, 52114) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 5905.16
Output number: 1, Rank-13: (1) 0 | (2) 0 | (3)0/100 | (4) 185, 185 | (5) 171.426 | (6) 3.54384 | (7) 8.2954e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.006 | (14) 96.6667/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (52120, 52120) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 6094.89
Output number: 1, Rank-6: (1) 0 | (2) 0 | (3)0/100 | (4) 188, 188 | (5) 179.226 | (6) 0.28439 | (7) 9.9438e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.008 | (14) 99.4444/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (53871, 53871) | (20) 1 | (21) 0 | (22) 0 | (23) 6 | (24) 6244.31
Output number: 1, Rank-24: (1) 0 | (2) 0 | (3)0/100 | (4) 184, 184 | (5) 177.297 | (6) 1.02521 | (7) 6.917e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.009 | (14) 98.8889/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (53768, 53768) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 6044.92
Output number: 1, Rank-4: (1) 0 | (2) 0 | (3)0/100 | (4) 187, 187 | (5) 176.348 | (6) 1.26524 | (7) 0.000108682 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.012 | (14) 98.3333/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (51817, 51817) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 6360.63
Output number: 1, Rank-23: (1) 0 | (2) 0 | (3)0/100 | (4) 181, 181 | (5) 174.107 | (6) 2.27103 | (7) 4.5464e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.02 | (14) 97.7778/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (52829, 52829) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 5953.33
Output number: 1, Rank-10: (1) 0 | (2) 0 | (3)0/100 | (4) 185, 185 | (5) 178.413 | (6) 0.657591 | (7) 6.645e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.026 | (14) 99.4444/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (54134, 54134) | (20) 1 | (21) 0 | (22) 0 | (23) 14 | (24) 6081.73
Output number: 1, Rank-20: (1) 0 | (2) 0 | (3)0/100 | (4) 182, 182 | (5) 178.293 | (6) 0.711461 | (7) 5.5664e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.028 | (14) 99.4444/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (53553, 53553) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 6021.68
