#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-static-24-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.169508 seconds
Distributing the actor graph took: 42.4557 seconds
Added actors in: 0.141786 seconds.
Initialized connections of actors in: 0.0469085 seconds.
No Migration
Output number: 1, Rank-1: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.11466 | (6) 80.3337 | (7) 0.000206522 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 45.5556/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55926, 55926) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.5293
Output number: 1, Rank-2: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.05647 | (6) 81.7301 | (7) 0.000215459 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55663, 55663) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1268
Output number: 1, Rank-3: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.09203 | (6) 81.231 | (7) 0.000186446 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55629, 55629) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.3977
Output number: 1, Rank-4: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.0944 | (6) 82.1993 | (7) 0.000161718 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55772, 55772) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1633
Output number: 1, Rank-5: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.10107 | (6) 81.2531 | (7) 0.000156034 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55577, 55577) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.2649
Output number: 1, Rank-6: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.05483 | (6) 81.5836 | (7) 0.000237045 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55426, 55426) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1539
Output number: 1, Rank-7: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.10782 | (6) 81.6981 | (7) 0.000162288 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55464, 55464) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.6446
Output number: 1, Rank-8: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.00888 | (6) 82.7535 | (7) 0.000150037 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55490, 55490) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.0073
Output number: 1, Rank-9: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.09774 | (6) 82.5074 | (7) 0.000208654 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55326, 55326) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.5471
Output number: 1, Rank-10: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.07105 | (6) 82.5244 | (7) 0.000150951 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55929, 55929) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1234
Output number: 1, Rank-11: (1) 0 | (2) 0 | (3)0/100 | (4) 29, 29 | (5) 1.98061 | (6) 82.9315 | (7) 0.000157428 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (29, 29) | (18) X | (19) (52473, 52473) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.062
Output number: 1, Rank-12: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.08115 | (6) 81.8916 | (7) 0.000186059 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (56103, 56103) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.1521
Output number: 1, Rank-13: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.07702 | (6) 81.775 | (7) 0.000159686 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.1111/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (56044, 56044) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.3892
Output number: 1, Rank-14: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.07065 | (6) 86.0685 | (7) 0.000147931 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 48.8889/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55919, 55919) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.4686
Output number: 1, Rank-15: (1) 0 | (2) 0 | (3)0/100 | (4) 31, 31 | (5) 2.10818 | (6) 82.4482 | (7) 0.000196763 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 46.6667/100 | (15) 0 | (17) (31, 31) | (18) X | (19) (55755, 55755) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 11.8678
