#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-1-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000941166 seconds
Distributing the actor graph took: 2.14268 seconds
Added actors in: 0.444192 seconds.
Initialized connections of actors in: 0.0117432 seconds.
Async Migration only
Output number: 1, Rank-13: (1) 10 | (2) 1176 | (3)0.85034/100 | (4) 195, 195 | (5) 110.247 | (6) 24.024 | (7) 5.011e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (195, 195) | (18) X | (19) (33502, 33502) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6381.88
Output number: 1, Rank-14: (1) 3 | (2) 1030 | (3)0.291262/100 | (4) 185, 185 | (5) 139.669 | (6) 14.348 | (7) 7.4717e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 85.5556/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (42145, 42145) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6100.36
Output number: 1, Rank-15: (1) 3 | (2) 810 | (3)0.37037/100 | (4) 192, 192 | (5) 139.316 | (6) 14.177 | (7) 4.7037e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 85/100 | (15) 0 | (17) (192, 192) | (18) X | (19) (42390, 42390) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6291.7
Output number: 1, Rank-12: (1) 0 | (2) 1106 | (3)0/100 | (4) 186, 186 | (5) 111.244 | (6) 31.9214 | (7) 6.5127e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 79.4444/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (33311, 33311) | (20) 0 | (21) 1 | (22) 0 | (23) 3 | (24) 6165.1
Output number: 1, Rank-16: (1) 12 | (2) 1011 | (3)1.18694/100 | (4) 190, 190 | (5) 130.808 | (6) 17.9714 | (7) 8.3653e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 82.2222/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (39358, 39358) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 6223.96
Output number: 1, Rank-22: (1) 24 | (2) 1245 | (3)1.92771/100 | (4) 209, 209 | (5) 129.774 | (6) 17.6695 | (7) 3.3115e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 81.6667/100 | (15) 0 | (17) (209, 209) | (18) X | (19) (39444, 39444) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 6832.1
Output number: 1, Rank-7: (1) 0 | (2) 1018 | (3)0/100 | (4) 175, 175 | (5) 119.296 | (6) 21.3973 | (7) 5.2061e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 77.7778/100 | (15) 0 | (17) (175, 175) | (18) X | (19) (35879, 35879) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 5801.18
Output number: 1, Rank-17: (1) 21 | (2) 1039 | (3)2.02117/100 | (4) 203, 203 | (5) 135.713 | (6) 15.349 | (7) 5.8227e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 83.8889/100 | (15) 0 | (17) (203, 203) | (18) X | (19) (41352, 41352) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 6588.34
Output number: 1, Rank-18: (1) 1 | (2) 877 | (3)0.114025/100 | (4) 189, 189 | (5) 139.354 | (6) 14.4595 | (7) 7.2728e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 85/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (39141, 39141) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6698.43
Output number: 1, Rank-0: (1) 0 | (2) 160 | (3)0/100 | (4) 127, 127 | (5) 100.927 | (6) 0.259212 | (7) 0.000112663 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 56.1111/100 | (15) 0 | (17) (127, 127) | (18) X | (19) (29274, 29274) | (20) 1 | (21) 1 | (22) 0 | (23) 126 | (24) 5410.92
Output number: 1, Rank-20: (1) 3 | (2) 1130 | (3)0.265487/100 | (4) 185, 185 | (5) 117.463 | (6) 22.4284 | (7) 8.8151e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 77.2222/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (35434, 35434) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 6069.16
Output number: 1, Rank-1: (1) 19 | (2) 368 | (3)5.16304/100 | (4) 141, 141 | (5) 98.0933 | (6) 2.33997 | (7) 4.0606e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 55.5556/100 | (15) 0 | (17) (141, 141) | (18) X | (19) (28963, 28963) | (20) 1 | (21) 1 | (22) 0 | (23) 24 | (24) 5962.08
Output number: 1, Rank-2: (1) 8 | (2) 396 | (3)2.0202/100 | (4) 144, 144 | (5) 97.9975 | (6) 2.36151 | (7) 7.969e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 55.5556/100 | (15) 0 | (17) (144, 144) | (18) X | (19) (28589, 28589) | (20) 1 | (21) 1 | (22) 0 | (23) 31 | (24) 6188.01
Output number: 1, Rank-3: (1) 0 | (2) 213 | (3)0/100 | (4) 173, 173 | (5) 100.767 | (6) 0.178314 | (7) 4.9094e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.006 | (14) 55.5556/100 | (15) 0 | (17) (173, 173) | (18) X | (19) (29619, 29619) | (20) 1 | (21) 1 | (22) 0 | (23) 146 | (24) 7243.58
