#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-16-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0129242 seconds
Distributing the actor graph took: 2.38341 seconds
Added actors in: 0.052089 seconds.
Initialized connections of actors in: 0.0119536 seconds.
Async Migration only
Output number: 1, Rank-18: (1) 1 | (2) 1528 | (3)0.065445/100 | (4) 11, 11 | (5) 85.9332 | (6) 12.4786 | (7) 0.000211081 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (25499, 25499) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 452.248
Output number: 1, Rank-21: (1) 0 | (2) 1536 | (3)0/100 | (4) 11, 11 | (5) 91.9198 | (6) 8.27502 | (7) 0.000157105 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (27247, 27247) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 448.418
Output number: 1, Rank-23: (1) 0 | (2) 1515 | (3)0/100 | (4) 12, 12 | (5) 93.7092 | (6) 6.28906 | (7) 0.000105722 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (27820, 27820) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 491.587
Output number: 1, Rank-7: (1) 0 | (2) 1508 | (3)0/100 | (4) 12, 12 | (5) 93.7259 | (6) 6.14431 | (7) 0.000225281 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (27679, 27679) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 498.555
Output number: 1, Rank-8: (1) 0 | (2) 1497 | (3)0/100 | (4) 12, 12 | (5) 93.2859 | (6) 7.39321 | (7) 0.000195375 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (27661, 27661) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 491.7
Output number: 1, Rank-32: (1) 0 | (2) 1558 | (3)0/100 | (4) 11, 11 | (5) 85.5523 | (6) 13.3845 | (7) 0.000198197 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (25419, 25419) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 451.596
Output number: 1, Rank-41: (1) 0 | (2) 1494 | (3)0/100 | (4) 12, 12 | (5) 93.6815 | (6) 5.78477 | (7) 0.00022763 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (27721, 27721) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 498.924
Output number: 1, Rank-42: (1) 1 | (2) 1540 | (3)0.0649351/100 | (4) 11, 11 | (5) 92.2545 | (6) 8.26411 | (7) 0.000168582 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (27198, 27198) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 453.395
Output number: 1, Rank-69: (1) 0 | (2) 1716 | (3)0/100 | (4) 11, 11 | (5) 83.9774 | (6) 43.4606 | (7) 0.00018785 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (11, 11) | (18) X | (19) (25545, 25545) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 360.49
Output number: 1, Rank-29: (1) 0 | (2) 1531 | (3)0/100 | (4) 10, 10 | (5) 86.6163 | (6) 11.3358 | (7) 0.000186529 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 53.8889/100 | (15) 0 | (17) (10, 10) | (18) X | (19) (25396, 25396) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 417.162
Output number: 1, Rank-54: (1) 0 | (2) 1466 | (3)0/100 | (4) 12, 12 | (5) 94.357 | (6) 5.16582 | (7) 0.000156403 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (12, 12) | (18) X | (19) (27749, 27749) | (20) 0 | (21) 1 | (22) 0 | (23) 3 | (24) 506.846
