#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-offload-local-single-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000847394 seconds
Distributing the actor graph took: 41.7045 seconds
Added actors in: 1.75164 seconds.
Initialized connections of actors in: 0.049009 seconds.
Output number: 1, Rank-11: (1) 0 | (2) 0 | (3)0/100 | (4) 870, 870 | (5) 33.2903 | (6) 39.4783 | (7) 4.5295e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 40/100 | (15) 0 | (17) (870, 870) | (18) X | (19) (205955, 205955) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1507.73
Output number: 1, Rank-7: (1) 0 | (2) 0 | (3)0/100 | (4) 942, 942 | (5) 35.6809 | (6) 31.5054 | (7) 0.000496452 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 37.2222/100 | (15) 0 | (17) (942, 942) | (18) X | (19) (204810, 204810) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1942.77
Output number: 1, Rank-16: (1) 0 | (2) 0 | (3)0/100 | (4) 792, 792 | (5) 27.7108 | (6) 45.0162 | (7) 0.000127108 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 40/100 | (15) 0 | (17) (792, 792) | (18) X | (19) (158710, 158710) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1745.02
Output number: 1, Rank-2: (1) 0 | (2) 0 | (3)0/100 | (4) 791, 791 | (5) 12.0502 | (6) 47.8269 | (7) 7.6773e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 32.7778/100 | (15) 0 | (17) (791, 791) | (18) X | (19) (178064, 178064) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 881.876
Output number: 1, Rank-0: (1) 0 | (2) 0 | (3)0/100 | (4) 734, 734 | (5) 93.6689 | (6) 21.8085 | (7) 0.000185953 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 63.8889/100 | (15) 0 | (17) (734, 734) | (18) X | (19) (156272, 156272) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4557.96
Output number: 1, Rank-5: (1) 64 | (2) 64 | (3)100/100 | (4) 877, 877 | (5) 43.4507 | (6) 33.6927 | (7) 5.4941e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 42.7778/100 | (15) 0 | (17) (877, 877) | (18) X | (19) (239479, 239479) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1472.44
Output number: 1, Rank-8: (1) 0 | (2) 0 | (3)0/100 | (4) 912, 912 | (5) 35.3773 | (6) 37.035 | (7) 0.000100857 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 40/100 | (15) 0 | (17) (912, 912) | (18) X | (19) (189228, 189228) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2058.93
Output number: 1, Rank-14: (1) 0 | (2) 0 | (3)0/100 | (4) 841, 841 | (5) 27.7085 | (6) 41.3033 | (7) 0.000577012 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 38.3333/100 | (15) 0 | (17) (841, 841) | (18) X | (19) (176548, 176548) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1744.08
Output number: 1, Rank-25: (1) 550 | (2) 550 | (3)100/100 | (4) 196, 196 | (5) 94.0964 | (6) 27.6024 | (7) 0.00010638 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 67.2222/100 | (15) 0 | (17) (196, 196) | (18) X | (19) (84964, 84964) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 2099.49
Output number: 1, Rank-24: (1) 22 | (2) 22 | (3)100/100 | (4) 983, 983 | (5) 51.0344 | (6) 31.4651 | (7) 5.8381e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 45.5556/100 | (15) 0 | (17) (983, 983) | (18) X | (19) (250351, 250351) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2029.04
Output number: 1, Rank-1: (1) 0 | (2) 0 | (3)0/100 | (4) 783, 783 | (5) 28.7727 | (6) 42.5048 | (7) 8.2625e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.008 | (14) 39.4444/100 | (15) 0 | (17) (783, 783) | (18) X | (19) (168843, 168843) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 1821.6
Output number: 1, Rank-27: (1) 26 | (2) 26 | (3)100/100 | (4) 995, 995 | (5) 51.1634 | (6) 31.5389 | (7) 6.557e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.012 | (14) 45.5556/100 | (15) 0 | (17) (995, 995) | (18) X | (19) (251797, 251797) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 2046.15
Output number: 1, Rank-15: (1) 176 | (2) 176 | (3)100/100 | (4) 561, 561 | (5) 174.414 | (6) 0.550839 | (7) 2.3003e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.05 | (14) 96.6667/100 | (15) 0 | (17) (561, 561) | (18) X | (19) (125477, 125477) | (20) 1 | (21) 0 | (22) 0 | (23) 561 | (24) 7506.4
Output number: 1, Rank-9: (1) 282 | (2) 282 | (3)100/100 | (4) 462, 462 | (5) 174.307 | (6) 0.652087 | (7) 7.1857e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.123 | (14) 96.6667/100 | (15) 0 | (17) (462, 462) | (18) X | (19) (106629, 106629) | (20) 1 | (21) 0 | (22) 0 | (23) 450 | (24) 7520.73
