#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-busy-24-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0142722 seconds
Distributing the actor graph took: 2.33529 seconds
Added actors in: 0.0418582 seconds.
Initialized connections of actors in: 0.0114746 seconds.
Async Migration only
Output number: 1, Rank-7: (1) 21 | (2) 1566 | (3)1.341/100 | (4) 2, 2 | (5) 81.4129 | (6) 19.6829 | (7) 0.000122388 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.1111/100 | (15) 0 | (17) (2, 2) | (18) X | (19) (23923, 23923) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 80.9729
Output number: 1, Rank-8: (1) 27 | (2) 1559 | (3)1.73188/100 | (4) 3, 3 | (5) 87.1554 | (6) 13.1161 | (7) 8.6215e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (3, 3) | (18) X | (19) (25812, 25812) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 124.898
Output number: 1, Rank-20: (1) 25 | (2) 1549 | (3)1.61394/100 | (4) 3, 3 | (5) 86.259 | (6) 12.5648 | (7) 0.000115345 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (3, 3) | (18) X | (19) (25598, 25598) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 127.802
Output number: 1, Rank-26: (1) 36 | (2) 1516 | (3)2.37467/100 | (4) 2, 2 | (5) 85.7717 | (6) 13.3712 | (7) 0.000117701 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (2, 2) | (18) X | (19) (25125, 25125) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 80.4274
Output number: 1, Rank-19: (1) 30 | (2) 1517 | (3)1.97759/100 | (4) 3, 3 | (5) 84.3818 | (6) 12.9827 | (7) 7.3157e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 53.8889/100 | (15) 0 | (17) (3, 3) | (18) X | (19) (24948, 24948) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 119.624
Output number: 1, Rank-79: (1) 34 | (2) 1513 | (3)2.24719/100 | (4) 2, 2 | (5) 83.7528 | (6) 14.4753 | (7) 2.9397e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (2, 2) | (18) X | (19) (24772, 24772) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 80.6555
Output number: 1, Rank-659: (1) 34 | (2) 1646 | (3)2.06561/100 | (4) 9, 9 | (5) 131.42 | (6) 22.2319 | (7) 8.8505e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 85/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (39780, 39780) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 297.693
Output number: 1, Rank-42: (1) 38 | (2) 1543 | (3)2.46273/100 | (4) 3, 3 | (5) 86.3206 | (6) 13.2803 | (7) 0.000149042 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (3, 3) | (18) X | (19) (25663, 25663) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 121.612
Output number: 1, Rank-80: (1) 33 | (2) 1526 | (3)2.16252/100 | (4) 3, 3 | (5) 87.0313 | (6) 12.4078 | (7) 3.8438e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (3, 3) | (18) X | (19) (25824, 25824) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 121.444
Output number: 1, Rank-527: (1) 28 | (2) 1654 | (3)1.69287/100 | (4) 9, 9 | (5) 127.85 | (6) 23.7842 | (7) 9.9196e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 83.8889/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (38311, 38311) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 299.987
Output number: 1, Rank-196: (1) 27 | (2) 1652 | (3)1.63438/100 | (4) 9, 9 | (5) 136.247 | (6) 20.1705 | (7) 7.4355e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.6667/100 | (15) 0 | (17) (9, 9) | (18) X | (19) (41163, 41163) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 299.644
Output number: 1, Rank-56: (1) 26 | (2) 1527 | (3)1.70269/100 | (4) 2, 2 | (5) 85.4114 | (6) 13.393 | (7) 3.152e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (2, 2) | (18) X | (19) (24968, 24968) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 82.7648
Output number: 1, Rank-411: (1) 35 | (2) 1639 | (3)2.13545/100 | (4) 8, 8 | (5) 135.635 | (6) 20.3206 | (7) 8.4537e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (40573, 40573) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 268.626
Output number: 1, Rank-425: (1) 12 | (2) 1688 | (3)0.7109/100 | (4) 8, 8 | (5) 119.04 | (6) 27.7921 | (7) 6.1248e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 81.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (35983, 35983) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 264.911
Output number: 1, Rank-482: (1) 22 | (2) 1673 | (3)1.315/100 | (4) 7, 7 | (5) 124.284 | (6) 26.2835 | (7) 0.000158082 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 83.3333/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (37203, 37203) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 234.283
Output number: 1, Rank-270: (1) 26 | (2) 1651 | (3)1.5748/100 | (4) 8, 8 | (5) 135.359 | (6) 20.3777 | (7) 0.000172477 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.1111/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (40849, 40849) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 265.149
Output number: 1, Rank-142: (1) 15 | (2) 1687 | (3)0.889152/100 | (4) 8, 8 | (5) 121.545 | (6) 26.9047 | (7) 7.8915e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 82.2222/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (36444, 36444) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 267.214
