#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-contig/pond-sw-local-busy-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.252763 seconds
Distributing the actor graph took: 2.39791 seconds
Added actors in: 0.0835629 seconds.
Initialized connections of actors in: 0.0126193 seconds.
Async Migration only
Output number: 1, Rank-22: (1) 2 | (2) 1009 | (3)0.198216/100 | (4) 6, 6 | (5) 69.9387 | (6) 27.1572 | (7) 0.000109133 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 53.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (20910, 20910) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 248.184 | (25) (43.6956, 31-26) | (26) 1 | (27) -90.5418
Output number: 1, Rank-512: (1) 3 | (2) 513 | (3)0.584795/100 | (4) 7, 7 | (5) 78.6872 | (6) 49.5536 | (7) 8.9828e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (23657, 23657) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 232.258 | (25) (33.6873, 20-44) | (26) 2950 | (27) -0.96189
Output number: 1, Rank-166: (1) 7 | (2) 760 | (3)0.921053/100 | (4) 6, 6 | (5) 71.5397 | (6) 50.5089 | (7) 7.6439e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (21606, 21606) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.463 | (25) (33.3459, 21-11) | (26) 17852 | (27) -0.40871
Output number: 1, Rank-369: (1) 7 | (2) 331 | (3)2.1148/100 | (4) 6, 6 | (5) 76.4798 | (6) 51.1748 | (7) 0.000149049 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22973, 22973) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.77 | (25) (33.3085, 71-28) | (26) 53898 | (27) -0.77748
Output number: 1, Rank-468: (1) 5 | (2) 401 | (3)1.24688/100 | (4) 6, 6 | (5) 67.936 | (6) 53.7239 | (7) 0.000135136 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (20487, 20487) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.246 | (25) (33.5224, 6-43) | (26) 7096 | (27) -0.35341
Output number: 1, Rank-543: (1) 3 | (2) 489 | (3)0.613497/100 | (4) 5, 5 | (5) 62.043 | (6) 61.8655 | (7) 0.000122133 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18809, 18809) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.502 | (25) (33.5166, 33-47) | (26) 64243 | (27) -0.80286
Output number: 1, Rank-440: (1) 0 | (2) 440 | (3)0/100 | (4) 6, 6 | (5) 72.5464 | (6) 52.5643 | (7) 5.5672e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 69.4444/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (21946, 21946) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.481 | (25) (33.438, 47-32) | (26) 22143 | (27) -4.90274e-13
Output number: 1, Rank-133: (1) 3 | (2) 977 | (3)0.307062/100 | (4) 6, 6 | (5) 69.8748 | (6) 53.6764 | (7) 0.000118001 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (20992, 20992) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 199.219 | (25) (33.8928, 33-11) | (26) 71339 | (27) -0.40594
Output number: 1, Rank-360: (1) 4 | (2) 416 | (3)0.961538/100 | (4) 6, 6 | (5) 69.0358 | (6) 54.096 | (7) 5.3988e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (21051, 21051) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.176 | (25) (32.896, 67-28) | (26) 88623 | (27) -0.33617
Output number: 1, Rank-563: (1) 0 | (2) 475 | (3)0/100 | (4) 5, 5 | (5) 60.5504 | (6) 61.6298 | (7) 3.4997e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18346, 18346) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.489 | (25) (33.3835, 29-60) | (26) 9027 | (27) -0.33477
Output number: 1, Rank-78: (1) 2 | (2) 1261 | (3)0.158604/100 | (4) 5, 5 | (5) 62.2365 | (6) 36.7811 | (7) 8.2192e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18645, 18645) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.663 | (25) (40.0255, 7-15) | (26) 7734 | (27) -0.68337
Output number: 1, Rank-39: (1) 3 | (2) 1030 | (3)0.291262/100 | (4) 6, 6 | (5) 70.7994 | (6) 26.1725 | (7) 0.000144256 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 53.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (20918, 20918) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 241.659 | (25) (40.9604, 23-33) | (26) 7713 | (27) -6.96049
Output number: 1, Rank-798: (1) 5 | (2) 542 | (3)0.922509/100 | (4) 6, 6 | (5) 69.8892 | (6) 53.1307 | (7) 9.7209e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (21196, 21196) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.302 | (25) (33.4286, 36-65) | (26) 23949 | (27) -2.13163e-13
Output number: 1, Rank-836: (1) 5 | (2) 528 | (3)0.94697/100 | (4) 6, 6 | (5) 73.2012 | (6) 51.561 | (7) 0.00012616 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22284, 22284) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.552 | (25) (32.8741, 50-61) | (26) 44094 | (27) 3.33955e-13
Output number: 1, Rank-726: (1) 18 | (2) 469 | (3)3.83795/100 | (4) 5, 5 | (5) 67.4065 | (6) 56.8757 | (7) 8.3024e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (20267, 20267) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 166.109 | (25) (33.6421, 32-44) | (26) 77865 | (27) -0.37699
Output number: 1, Rank-229: (1) 6 | (2) 530 | (3)1.13208/100 | (4) 6, 6 | (5) 73.0923 | (6) 51.23 | (7) 9.4648e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22198, 22198) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.204 | (25) (33.2391, 55-1) | (26) 62852 | (27) 1.98952e-13
Output number: 1, Rank-858: (1) 10 | (2) 540 | (3)1.85185/100 | (4) 5, 5 | (5) 71.896 | (6) 55.3507 | (7) 0.000139563 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (21802, 21802) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.54 | (25) (33.372, 63-63) | (26) 7638 | (27) -5.18696e-13
Output number: 1, Rank-218: (1) 6 | (2) 481 | (3)1.2474/100 | (4) 8, 8 | (5) 83.3116 | (6) 50.5201 | (7) 0.000146274 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (8, 8) | (18) X | (19) (25078, 25078) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 264.592 | (25) (33.7013, 13-2) | (26) 25101 | (27) -0.88336
Output number: 1, Rank-191: (1) 0 | (2) 1061 | (3)0/100 | (4) 6, 6 | (5) 72.5041 | (6) 52.2047 | (7) 0.00011055 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (21952, 21952) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.375 | (25) (33.0784, 1-14) | (26) 41243 | (27) -0.74834
Output number: 1, Rank-621: (1) 0 | (2) 302 | (3)0/100 | (4) 5, 5 | (5) 60.594 | (6) 60.3342 | (7) 3.7207e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 66.6667/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18474, 18474) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 163.65 | (25) (32.8891, 2-66) | (26) 1407 | (27) -0.36411
Output number: 1, Rank-500: (1) 6 | (2) 476 | (3)1.2605/100 | (4) 7, 7 | (5) 75.6341 | (6) 52.6224 | (7) 0.000112784 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (22869, 22869) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 230.056 | (25) (33.6206, 7-55) | (26) 1 | (27) -0.84775
Output number: 1, Rank-405: (1) 9 | (2) 970 | (3)0.927835/100 | (4) 6, 6 | (5) 71.1021 | (6) 52.8392 | (7) 4.7264e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (21309, 21309) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 199.71 | (25) (33.8211, 36-15) | (26) 79337 | (27) -0.33474
Output number: 1, Rank-285: (1) 2 | (2) 288 | (3)0.694444/100 | (4) 6, 6 | (5) 72.3848 | (6) 51.8465 | (7) 0.000109119 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22065, 22065) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.213 | (25) (32.8893, 59-10) | (26) 102290 | (27) 1.12976e-12
Output number: 1, Rank-730: (1) 0 | (2) 359 | (3)0/100 | (4) 5, 5 | (5) 61.294 | (6) 60.4562 | (7) 4.4444e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.2222/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18366, 18366) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 166.359 | (25) (33.7222, 52-44) | (26) 21243 | (27) 4.33431e-13
Output number: 1, Rank-107: (1) 1 | (2) 1294 | (3)0.0772798/100 | (4) 4, 4 | (5) 52.9727 | (6) 45.86 | (7) 0.000110629 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (4, 4) | (18) X | (19) (15854, 15854) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 160.377 | (25) (40.7141, 6-33) | (26) 26661 | (27) -0.46753
Output number: 1, Rank-322: (1) 6 | (2) 356 | (3)1.68539/100 | (4) 7, 7 | (5) 82.9601 | (6) 48.2532 | (7) 0.000118851 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (24910, 24910) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 232.411 | (25) (33.8112, 68-14) | (26) 63407 | (27) -0.70372
