#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-busy-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.296193 seconds
Distributing the actor graph took: 2.47977 seconds
Added actors in: 0.0491729 seconds.
Initialized connections of actors in: 0.0177695 seconds.
Async Migration only
Rank-13: (1) 19 | (2) 1523 | (3)1.24754/100 | (4) 2 | (5) 74.4365 | (6) 21.6572 | (7) 1.5081e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.814/100| (15)0 | (16) 1
Rank-14: (1) 27 | (2) 1492 | (3)1.80965/100 | (4) 2 | (5) 76.5057 | (6) 20.3101 | (7) 0.000107119 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.814/100| (15)0 | (16) 1
Rank-15: (1) 13 | (2) 1553 | (3)0.83709/100 | (4) 2 | (5) 76.6543 | (6) 21.7559 | (7) 7.0038e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 56.9767/100| (15)0 | (16) 1
Rank-16: (1) 14 | (2) 1545 | (3)0.906149/100 | (4) 2 | (5) 78.1562 | (6) 20.1371 | (7) 0.000124121 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 56.9767/100| (15)0 | (16) 1
Rank-17: (1) 17 | (2) 1520 | (3)1.11842/100 | (4) 2 | (5) 73.821 | (6) 22.4292 | (7) 1.5917e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.814/100| (15)0 | (16) 1
Rank-18: (1) 19 | (2) 1525 | (3)1.2459/100 | (4) 2 | (5) 76.6495 | (6) 20.1674 | (7) 1.3362e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.814/100| (15)0 | (16) 1
Decomposition: (1) STOLE_COUNT |(2) STOLE_TRIES | (3) REJECTION | (4) ACTIVE_ACTORS | (5) TIME_ACT | (6) PROGRESS | (7) BARRIER |  (8) TIMEOUT_CHECK | (9) TERMINATION_CHECK_DUR | (10) FORCE_TERMINATION_DUR | (11) TERMINATION_CHECK_COUNT | (12) OUTSIDE |  (13) TOTAL | (14) PERCENTAGE | (15) FORCED
Rank-0: (1) 11 | (2) 1570 | (3)0.700637/100 | (4) 2 | (5) 71.45 | (6) 24.0625 | (7) 2.189e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 55.2326/100| (15)0 | (16) 1
time-to-solution:172.528641
Tue Aug  2 14:28:35 2022	process 0 - Performed 28304640 patch updates in 172.529 seconds.
Tue Aug  2 14:28:35 2022	process 0 - Performed 1769040000000 cell updates in 172.529 seconds.
Tue Aug  2 14:28:35 2022	process 0 - => 1.02536e+10 CellUpdates/s
Tue Aug  2 14:28:35 2022	process 0 - => 2.76847e+12 FlOps/s
Rank-33: (1) 31 | (2) 1479 | (3)2.09601/100 | (4) 2 | (5) 80.0571 | (6) 18.1938 | (7) 8.5912e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 56.9767/100| (15)0 | (16) 1
Rank-79: (1) 14 | (2) 1531 | (3)0.914435/100 | (4) 2 | (5) 77.5056 | (6) 20.0115 | (7) 8.618e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 56.3953/100| (15)0 | (16) 1
Rank-180: (1) 16 | (2) 1608 | (3)0.995025/100 | (4) 6 | (5) 116.063 | (6) 25.8068 | (7) 0.000139919 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 81.9767/100| (15)0 | (16) 1
Rank-140: (1) 19 | (2) 1602 | (3)1.18602/100 | (4) 7 | (5) 110.521 | (6) 28.5656 | (7) 0.000128963 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 80.814/100| (15)0 | (16) 1
Rank-116: (1) 22 | (2) 1505 | (3)1.46179/100 | (4) 2 | (5) 75.5079 | (6) 21.4862 | (7) 4.3121e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.814/100| (15)0 | (16) 1
Rank-196: (1) 19 | (2) 1603 | (3)1.18528/100 | (4) 6 | (5) 112.558 | (6) 27.83 | (7) 6.4486e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 81.3953/100| (15)0 | (16) 1
